row_index,NCT,PubMed ID,Trial name,source_value,followup_bucket,derived_expected_llm_response
1,NCT00527735,22858559,,11.1,<12,"{""followup_bucket"": ""<12""}"
2,NCT00527735,22858559,,11.1,<12,"{""followup_bucket"": ""<12""}"
3,NCT01450761,27458307,CA184-156,,,"{""followup_bucket"": null}"
4,NCT02763579,30280641,IMPower 133,13.9,12–23,"{""followup_bucket"": ""12–23""}"
5,NCT03059667,30664989,IFCT-1603,13.7,12–23,"{""followup_bucket"": ""12–23""}"
6,NCT03043872,31590988,CASPIAN,14.2,12–23,"{""followup_bucket"": ""12–23""}"
7,NCT03043872,31590988,CASPIAN,14.2,12–23,"{""followup_bucket"": ""12–23""}"
8,NCT02763579,31959349,IMpower133,,,"{""followup_bucket"": null}"
9,NCT03066778,32468956,KEYNOTE-604,,,"{""followup_bucket"": null}"
10,NCT03043872,33285097,CASPIAN,25.1,≥24,"{""followup_bucket"": ""≥24""}"
11,NCT03043872,33285097,CASPIAN,25.1,≥24,"{""followup_bucket"": ""≥24""}"
12,NCT02481830,33539946,CheckMate 331,15.8,12–23,"{""followup_bucket"": ""12–23""}"
13,NCT02538666,33683919,CheckMate 451,,,"{""followup_bucket"": null}"
14,NCT02538666,33683919,CheckMate 451,,,"{""followup_bucket"": null}"
