row_index,NCT,PubMed ID,Trial name,source_value,control_backbone,derived_expected_llm_response
1,NCT01673867,26412456,Checkmate 057,Docetaxel,,"{""control_backbone"": null}"
2,NCT01642004,26028407,Checkmate 017,Docetaxel,,"{""control_backbone"": null}"
3,NCT02041533,28636851,Checkmate 026,Platinum-based chemotherapy,,"{""control_backbone"": null}"
4,NCT01285609,28854067,,Placebo+Paclitaxel+Carboplatin,Carboplatin+Paclitaxel,"{""control_backbone"": ""Carboplatin+Paclitaxel""}"
5,NCT02395172,30262187,JAVELIN Lung 200,Docetaxel,,"{""control_backbone"": null}"
6,NCT02578680,29658856,Keynote-189,Placebo+Pemetrexed+Platinum agent,,"{""control_backbone"": null}"
7,NCT02477826,29658845,Checkmate 227,Chemotherapy,,"{""control_backbone"": null}"
8,NCT02477826,29658845,Checkmate 227,Chemotherapy,,"{""control_backbone"": null}"
9,NCT02477826,31562796,Checkmate 227,Chemotherapy,,"{""control_backbone"": null}"
10,NCT02477826,31562796,Checkmate 227,Chemotherapy,,"{""control_backbone"": null}"
11,NCT02477826,31562796,Checkmate 227,Chemotherapy,,"{""control_backbone"": null}"
12,NCT02220894,30955977,Keynote-042,Carboplatin+Pemetrexed+Paclitaxel,Carboplatin+Paclitaxel,"{""control_backbone"": ""Carboplatin+Paclitaxel""}"
13,NCT02142738,30620668,Keynote-024,Platinum-based chemotherapy,,"{""control_backbone"": null}"
14,NCT02367781,31122901,IMpower130,Carboplatin+Nab-paclitaxel,Carboplatin+Paclitaxel,"{""control_backbone"": ""Carboplatin+Paclitaxel""}"
15,NCT02613507,30659987,Checkmate 078,Docetaxel,,"{""control_backbone"": null}"
16,NCT02453282,32271377,MYSTIC,Investigator's choice chemotherapy,,"{""control_backbone"": null}"
17,NCT02453282,32271377,MYSTIC,Investigator's choice chemotherapy,,"{""control_backbone"": null}"
18,NCT02367794,32302702,IMpower131,Carboplatin+Nab-paclitaxel,Carboplatin+Paclitaxel,"{""control_backbone"": ""Carboplatin+Paclitaxel""}"
19,NCT02367794,32302702,IMpower131,Carboplatin+Nab-paclitaxel,Carboplatin+Paclitaxel,"{""control_backbone"": ""Carboplatin+Paclitaxel""}"
20,NCT02142738,27718847,Keynote-024,Platinum-based chemotherapy,,"{""control_backbone"": null}"
