row_index,NCT,PubMed ID,Trial name,source_value,phase_bucket,derived_expected_llm_response
1,NCT02302807,29268948,IMvigor211,Phase 3,late,"{""phase_bucket"": ""late""}"
2,NCT02425891,30345906,IMpassion130,Phase 3,late,"{""phase_bucket"": ""late""}"
3,NCT02788279,31003911,IMblaze130,Phase 3,late,"{""phase_bucket"": ""late""}"
4,NCT02788279,31003911,IMblaze130,Phase 3,late,"{""phase_bucket"": ""late""}"
5,NCT01984242,29867230,IMmotion150,Phase 2,early,"{""phase_bucket"": ""early""}"
6,NCT01984242,29867230,IMmotion150,Phase 2,early,"{""phase_bucket"": ""early""}"
7,NCT02420821,31079938,IMmotion151,Phase 3,late,"{""phase_bucket"": ""late""}"
8,NCT01903993,26970723,POPLAR,Phase 2,early,"{""phase_bucket"": ""early""}"
9,NCT02395172,30262187,JAVELIN Lung 200,Phase 3,late,"{""phase_bucket"": ""late""}"
10,NCT02008227,27979383,OAK,Phase 3,late,"{""phase_bucket"": ""late""}"
11,NCT02008227,29777823,OAK,Phase 3,late,"{""phase_bucket"": ""late""}"
12,NCT02763579,30280641,IMPower 133,Phase 3,late,"{""phase_bucket"": ""late""}"
13,NCT02366143,29863955,IMPower150,Phase 3,late,"{""phase_bucket"": ""late""}"
14,NCT02366143,29863955,IMPower150,Phase 3,late,"{""phase_bucket"": ""late""}"
15,NCT03059667,30664989,IFCT-1603,Phase 2,early,"{""phase_bucket"": ""early""}"
16,NCT02367781,31122901,IMpower130,Phase 3,late,"{""phase_bucket"": ""late""}"
17,NCT02425891,31786121,IMpassion130,Phase 3,late,"{""phase_bucket"": ""late""}"
18,NCT02763579,31959349,IMpower133,Phase 3,late,"{""phase_bucket"": ""late""}"
19,NCT02367794,32302702,IMpower131,Phase 3,late,"{""phase_bucket"": ""late""}"
20,NCT02367794,32302702,IMpower131,Phase 3,late,"{""phase_bucket"": ""late""}"
21,NCT02908672,32534646,IMspire150,Phase 3,late,"{""phase_bucket"": ""late""}"
22,NCT02807636,32416780,IMvigor130,Phase 3,late,"{""phase_bucket"": ""late""}"
23,NCT02807636,32416780,IMvigor130,Phase 3,late,"{""phase_bucket"": ""late""}"
24,NCT03434379,32402160,IMbrave150,Phase 3,late,"{""phase_bucket"": ""late""}"
25,NCT03197935,32966830,IMpassion031,Phase 3,late,"{""phase_bucket"": ""late""}"
26,NCT02409342,32997907,IMpower110,Phase 3,late,"{""phase_bucket"": ""late""}"
27,NCT02657434,33333328,Impower 132,Phase 3,late,"{""phase_bucket"": ""late""}"
28,NCT01903993,33166718,POPLAR,Phase 2,early,"{""phase_bucket"": ""early""}"
29,NCT02008227,33166718,OAK,Phase 3,late,"{""phase_bucket"": ""late""}"
30,NCT02450331, 33721560,Imvigor010,Phase 3,late,"{""phase_bucket"": ""late""}"
