row_index,NCT,PubMed ID,Type of therapy,Monotherapy/combination
1,,,Combination,Combination
2,,,Combination,Combination
3,,,Monotherapy,Monotherapy
4,,,Monotherapy,Monotherapy
5,,,Monotherapy,Monotherapy
6,,,Monotherapy,Monotherapy
7,,,Monotherapy,Monotherapy
8,,,Monotherapy,Monotherapy
9,,,Combination,Combination
10,,,Monotherapy,Monotherapy
11,,,Monotherapy,Monotherapy
12,,,Monotherapy,Monotherapy
13,,,Combination,Combination
14,,,Combination,Combination
15,,,Monotherapy,Monotherapy
16,,,Monotherapy,Monotherapy
17,,,Combination,Combination
18,,,Combination,Combination
19,,,Combination,Combination
20,,,Combination,Combination
21,,,Combination,Combination
22,,,Monotherapy,Monotherapy
23,,,Combination,Combination
24,,,Monotherapy,Monotherapy
25,,,Combination,Combination
26,,,Monotherapy,Monotherapy
27,,,Monotherapy,Monotherapy
28,,,Combination,Combination
29,,,Monotherapy,Monotherapy
30,,,Combination,Combination
31,,,Monotherapy,Monotherapy
32,,,Monotherapy,Monotherapy
33,,,Combination,Combination
34,,,Monotherapy,Monotherapy
35,,,Combination,Combination
36,,,Combination,Combination
37,,,Combination,Combination
38,,,Combination,Combination
39,,,Monotherapy,Monotherapy
40,,,Monotherapy,Monotherapy
41,,,Monotherapy,Monotherapy
42,,,Monotherapy,Monotherapy
43,,,Combination,Combination
44,,,Monotherapy,Monotherapy
45,,,Monotherapy,Monotherapy
