row_index,NCT,PubMed ID,Secondary endpoint
1,,,"ORR; PFS, association between overall survival and tumor expression of PD-L1; incidence of adverse events."
2,,,"Investigator-assessed PFS; ORR; 
DOR; OS; patient-reported outcomes; safety."
3,,,"Investigator-assessed PFS; ORR; 
DOR; OS; patient-reported outcomes; safety."
4,,,"ORR, PFS and OS in 
intention-to-treat population; incidence rate of adverse events among all treated patients."
5,,,"ORR, PFS and OS in intention-to-treat population; incidence rate of adverse events among all treated patients."
6,,,PFS and OS irrespective of PD-L1 expression; PFS as determined by investigator assessment; ORR; adverse events; pharmacokinetic measures; tumor tissue biomarkers; patient-reported outcomes.
7,,,ORR; duration of response; safety
8,,,OS in PD-L1 positive population; PFS in the ITT population; proportion of patients who achieved an objective response; duration of response; patient-reported outcomes; safety
9,,,"ORR, PFS and OS in ITT population; incidence rate of AEs."
10,,,"ORR; PFS, association between overall survival and tumor expression of PD-L1; incidence of adverse events."
11,,,PFS and OS irrespective of PD-L1 expression; PFS as determined by investigator assessment; ORR; adverse events; pharmacokinetic measures; tumor tissue biomarkers; patient-reported outcomes.
12,,,"ORR, DoR, safety, tolerability"
13,,,OS; ORR; safety; investigator-assessed PFS
14,,,OS; ORR; safety
