row_index,NCT,PubMed ID,Secondary endpoint
1,,,"PFS, best ORR, DCR, time to response, DOR, safety"
2,,,Comparison of OS between ipilimumab-alone and gp100-alone groups and between the two ipilimumab groups; best ORR; duration of response; PFS.
3,,,Comparison of OS between ipilimumab-alone and gp100-alone groups and between the two ipilimumab groups; best ORR; duration of response; PFS.
4,,,PFS; best overall response; duration of response; PFS at 6 months after random assignment; safety.
5,,,Distant metastasis-free survival; OS; safety measures; measures of health-related quality of life.
6,,,ORR; response duration; time from best overall response of complete or partial response until disease progression; safety.
7,,,ORR; response duration; time from best overall response of complete or partial response until disease progression; safety.
8,,,ORR; response duration; safety.
9,,,ORR; response duration; safety.
10,,,OS; distant metastasis–free survival; safety; health-related quality of life.
11,,,PFS; PD-L1 expression as a predictive biomarker for ORR and OS; health-related quality of life.
12,,,PFS; PD-L1 expression as a predictive biomarker for ORR and OS; health-related quality of life.
13,,,ORR; duration of response; time to response; OS.
14,,,Investigator-assessed PFS and objective response; tumor PD-L1 expression as a predictive biomarker of OS.
15,,,Investigator-assessed PFS and objective response; tumor PD-L1 expression as a predictive biomarker of OS.
16,,,"Safety, tolerability and quality-of-life with adjuvant ipilimumab"
17,,,"Safety, tolerability and quality-of-life with adjuvant ipilimumab"
18,,,OS; time to recurrence; safety; PFS or RFS 2.
19,,,OS; time to recurrence; safety; PFS or RFS 2.
20,,,PFS assessed by independent review committee; ORR; DOR; OS; time to deterioration in global health status and physical function.
21,,,"DOS, responses, and safety among patients with ≥2 years’ survival."
22,,,"DOS, responses, and safety among patients with ≥2 years’ survival."
23,,,Investigator-assessed PFS and objective response; tumor PD-L1 expression as a predictive biomarker of OS.
24,,,ORR; duration of response; time to response; OS
25,,,
26,,,OS; distant metastasis–free survival; safety; health-related quality of life.
