row_index,NCT,PubMed ID,Number of arms,Secondary endpoint
1,,,2,"PFS, best ORR, DCR, time to response, DOR, safety"
2,,,3,Comparison of OS between ipilimumab-alone and gp100-alone groups and between the two ipilimumab groups; best ORR; duration of response; PFS.
3,,,3,Comparison of OS between ipilimumab-alone and gp100-alone groups and between the two ipilimumab groups; best ORR; duration of response; PFS.
4,,,2,PFS; best overall response; duration of response; PFS at 6 months after random assignment; safety.
5,,,2,Distant metastasis-free survival; OS; safety measures; measures of health-related quality of life.
6,,,3,ORR; response duration; time from best overall response of complete or partial response until disease progression; safety.
7,,,3,ORR; response duration; time from best overall response of complete or partial response until disease progression; safety.
8,,,3,ORR; response duration; safety.
9,,,3,ORR; response duration; safety.
10,,,2,OS; distant metastasis–free survival; safety; health-related quality of life.
11,,,2,PFS; PD-L1 expression as a predictive biomarker for ORR and OS; health-related quality of life.
12,,,2,PFS; PD-L1 expression as a predictive biomarker for ORR and OS; health-related quality of life.
13,,,2,ORR; duration of response; time to response; OS.
14,,,2,Investigator-assessed PFS and objective response; tumor PD-L1 expression as a predictive biomarker of OS.
15,,,2,Investigator-assessed PFS and objective response; tumor PD-L1 expression as a predictive biomarker of OS.
16,,,3,"Safety, tolerability and quality-of-life with adjuvant ipilimumab"
17,,,3,"Safety, tolerability and quality-of-life with adjuvant ipilimumab"
18,,,3,OS; time to recurrence; safety; PFS or RFS 2.
19,,,3,OS; time to recurrence; safety; PFS or RFS 2.
20,,,2,PFS assessed by independent review committee; ORR; DOR; OS; time to deterioration in global health status and physical function.
21,,,3,"DOS, responses, and safety among patients with ≥2 years’ survival."
22,,,3,"DOS, responses, and safety among patients with ≥2 years’ survival."
23,,,2,Investigator-assessed PFS and objective response; tumor PD-L1 expression as a predictive biomarker of OS.
24,,,2,ORR; duration of response; time to response; OS
25,,,2,
26,,,2,OS; distant metastasis–free survival; safety; health-related quality of life.
