row_index,NCT,PubMed ID,Trial name,source_value,is_combination,derived_expected_llm_response
1,NCT00527735,22858559,,Combination,true,"{""is_combination"": true}"
2,NCT00527735,22858559,,Combination,true,"{""is_combination"": true}"
3,NCT01450761,27458307,CA184-156,Combination,true,"{""is_combination"": true}"
4,NCT02763579,30280641,IMPower 133,Combination,true,"{""is_combination"": true}"
5,NCT03059667,30664989,IFCT-1603,Monotherapy,false,"{""is_combination"": false}"
6,NCT03043872,31590988,CASPIAN,Combination,true,"{""is_combination"": true}"
7,NCT03043872,31590988,CASPIAN,Combination,true,"{""is_combination"": true}"
8,NCT02763579,31959349,IMpower133,Combination,true,"{""is_combination"": true}"
9,NCT03066778,32468956,KEYNOTE-604,Combination,true,"{""is_combination"": true}"
10,NCT03043872,33285097,CASPIAN,Combination,true,"{""is_combination"": true}"
11,NCT03043872,33285097,CASPIAN,Combination,true,"{""is_combination"": true}"
12,NCT02481830,33539946,CheckMate 331,Monotherapy,false,"{""is_combination"": false}"
13,NCT02538666,33683919,CheckMate 451,Combination,true,"{""is_combination"": true}"
14,NCT02538666,33683919,CheckMate 451,Monotherapy,false,"{""is_combination"": false}"
