row_index,NCT,PubMed ID,Trial name,source_value,added_agents,derived_expected_llm_response
1,NCT02853331,30779529,KEYNOTE-426,Pembrolizumab+Axitinib,"[""axitinib""]","{""added_agents"": [""axitinib""]}"
2,NCT02039674,27745820,Keynote-021,Pembrolizumab+Pemetrexed+Carboplatin,"[""pemetrexed"", ""carboplatin""]","{""added_agents"": [""pemetrexed"", ""carboplatin""]}"
3,NCT02039674,30138764,Keynote-021,Pembrolizumab+Pemetrexed+Carboplatin,"[""pemetrexed"", ""carboplatin""]","{""added_agents"": [""pemetrexed"", ""carboplatin""]}"
4,NCT02578680,29658856,Keynote-189,Pembrolizumab+Platinum agent,"[""platinum agent""]","{""added_agents"": [""platinum agent""]}"
5,NCT02775435,30280635,Keynote-407,Pembrolizumab+Carboplatin+Paclitaxel/nab-paclitaxel,"[""carboplatin"", ""paclitaxel"", ""nab-paclitaxel""]","{""added_agents"": [""carboplatin"", ""paclitaxel"", ""nab-paclitaxel""]}"
6,NCT02130466,31171878,KEYNOTE-022,Pembrolizumab+Dabrafenib+Trametinib,"[""dabrafenib"", ""trametinib""]","{""added_agents"": [""dabrafenib"", ""trametinib""]}"
7,NCT02576977,31327687,KEYNOTE-183,Pembrolizumab+Pomalidomide+Dexamethasone,"[""pomalidomide"", ""dexamethasone""]","{""added_agents"": [""pomalidomide"", ""dexamethasone""]}"
8,NCT02579863,31327689,KEYNOTE-185,Pembrolizumab+Lenalidomide+Dexamethasone,"[""lenalidomide"", ""dexamethasone""]","{""added_agents"": [""lenalidomide"", ""dexamethasone""]}"
9,NCT01042379,32053137,I-SPY2,Pembrolizumab+Paclitaxel,"[""paclitaxel""]","{""added_agents"": [""paclitaxel""]}"
10,NCT02358031,31679945,KEYNOTE-048,Pembrolizumab+Platinum agent+5-Fluorouracil,"[""platinum agent"", ""5-fluorouracil""]","{""added_agents"": [""platinum agent"", ""5-fluorouracil""]}"
11,NCT02362048,32114502,KEYNOTE144,Pembrolizumab+Acalabrutinib,"[""acalabrutinib""]","{""added_agents"": [""acalabrutinib""]}"
12,NCT03036488,32101663,KEYNOTE-522,Pembrolizumab+Paclitaxel+Carboplatin,"[""paclitaxel"", ""carboplatin""]","{""added_agents"": [""paclitaxel"", ""carboplatin""]}"
13,NCT03066778,32468956,KEYNOTE-604,Pembrolizumab+Etoposide+Platinum agent,"[""etoposide"", ""platinum agent""]","{""added_agents"": [""etoposide"", ""platinum agent""]}"
14,NCT02574598,32271354,PROLUNG,Pembrolizumab+ Docetaxel,"[""docetaxel""]","{""added_agents"": [""docetaxel""]}"
15,NCT03051659,32880602,,Pembrolizumab+Eribulin,"[""eribulin""]","{""added_agents"": [""eribulin""]}"
16,NCT02494583,32880601,Keynote-062,Pembrolizumab+Cisplatin+5-FU+Capecitabine,"[""cisplatin"", ""5-fu"", ""capecitabine""]","{""added_agents"": [""cisplatin"", ""5-fu"", ""capecitabine""]}"
17,NCT02819518,33278935,MK-3475/Keynote-355,Pembrolizumab+nab-paclitaxel/paclitaxel/gemcitabine+ carboplatin,"[""nab-paclitaxel"", ""paclitaxel"", ""gemcitabine"", ""carboplatin""]","{""added_agents"": [""nab-paclitaxel"", ""paclitaxel"", ""gemcitabine"", ""carboplatin""]}"
18,NCT02853331,33284113,Keynote-426,Pembrolizumab+Axitinib,"[""axitinib""]","{""added_agents"": [""axitinib""]}"
19,NCT02130466,33361337,KEYNOTE-022,Pembrolizumab+Dabrafenib+Trametinib,"[""dabrafenib"", ""trametinib""]","{""added_agents"": [""dabrafenib"", ""trametinib""]}"
20,NCT02811861,33616314,CLEAR,Pembrolizumab+Lenvatinib,"[""lenvatinib""]","{""added_agents"": [""lenvatinib""]}"
