NCT,PubMed ID,Trial name,source_value
NCT02302807,29268948,IMvigor211,No
NCT02256436,28212060,Keynote-045,No
NCT02256436,31050707,Keynote-045,No
NCT02425891,30345906,IMpassion130,No
NCT02685059,31095287,GeparNuevo,No
NCT02788279,31003911,IMblaze130,No
NCT02788279,31003911,IMblaze130,No
NCT01585987,28655793,,No
NCT02267343,28993052,ATTRACTION-2,No
NCT02625623,30052729,JAVELIN Gastric 300,No
NCT02370498,29880231,Keynote-061,No
NCT02252042,30509740,KEYNOTE-040,No
NCT02105636,27718784,CheckMate 141,No
NCT02105636,29884413,CheckMate 141,No
NCT01668784,26406148,CheckMate 025,No
NCT01984242,29867230,IMmotion150,No
NCT01984242,29867230,IMmotion150,No
NCT02231749,29562145,CheckMate 214,No
NCT02231749,31427204,CheckMate 214,No
NCT02684006,30779531,JAVELIN Renal 101,No
NCT02853331,30779529,KEYNOTE-426,No
NCT02420821,31079938,IMmotion151,No
NCT00527735,22547592,,No
NCT00527735,22547592,,No
NCT00527735,22858559,,No
NCT00527735,22858559,,No
NCT01673867,26412456,Checkmate 057,No
NCT01642004,26028407,Checkmate 017,No
NCT01905657,26712084,Keynote-010,Yes
NCT01905657,26712084,Keynote-010,Yes
NCT01903993,26970723,POPLAR,Yes
NCT01450761,27458307,CA184-156,No
NCT02041533,28636851,Checkmate 026,Yes
NCT01285609,28854067,,No
NCT02125461,28885881,PACIFIC,No
NCT02125461,30280658,PACIFIC,No
NCT02395172,30262187,JAVELIN Lung 200,No
NCT02039674,27745820,Keynote-021,Yes
NCT02039674,30138764,Keynote-021,Yes
NCT02008227,27979383,OAK,No
NCT02008227,29777823,OAK,No
NCT02578680,29658856,Keynote-189,No
NCT02763579,30280641,IMPower 133,No
NCT02775435,30280635,Keynote-407,No
NCT02366143,29863955,IMPower150,No
NCT02366143,29863955,IMPower150,No
NCT02477826,29658845,Checkmate 227,No
NCT02477826,29658845,Checkmate 227,No
NCT02477826,31562796,Checkmate 227,No
NCT02477826,31562796,Checkmate 227,No
NCT02477826,31562796,Checkmate 227,No
NCT02220894,30955977,Keynote-042,Yes
NCT03059667,30664989,IFCT-1603,No
NCT02142738,30620668,Keynote-024,Yes
NCT02367781,31122901,IMpower130,No
NCT02613507,30659987,Checkmate 078,No
NCT02454933,30763730,CAURAL,No
NCT00324155,21639810,,No
NCT00094653,20525992,MDX010-20,No
NCT00094653,20525992,MDX010-20,No
NCT00257205,23295794,,No
NCT02362594,29658430,EORTC 1325-MG/KEYNOTE-054,No
NCT01704287,26115796,KEYNOTE-002,No
NCT01704287,26115796,KEYNOTE-002,No
NCT01704287,28961465,KEYNOTE-002,No
NCT01704287,28961465,KEYNOTE-002,No
NCT00636168,27717298,,No
NCT01721746,25795410,CheckMate 037,No
NCT01721746,28671856,CheckMate 037,No
NCT02130466,31171878,KEYNOTE-022,No
NCT01721772,25399552,CheckMate 066,No
NCT01721772,30422243,CheckMate 066,No
NCT01843374,28729154,DETERMINE,No
NCT02576977,31327687,KEYNOTE-183,No
NCT02579863,31327689,KEYNOTE-185,No
NCT00861614,24831977,CA184-043,No
NCT01057810,28034081,CA184-095,No
NCT02267343,31863227,ATTRACTION-2,No
NCT02702401,31790344,KEYNOTE-240,No
NCT02569242,31582355,ATTRACTION-3,No
NCT01042379,32053137,I-SPY2,No
NCT03043872,31590988,CASPIAN,No
NCT03043872,31590988,CASPIAN,No
NCT02425891,31786121,IMpassion130,No
NCT02358031,31679945,KEYNOTE-048,No
NCT02358031,31679945,KEYNOTE-048,No
NCT02763579,31959349,IMpower133,No
NCT02362048,32114502,KEYNOTE144,No
NCT02352948,32201234,ARCTIC,No
NCT02352948,32201234,ARCTIC,No
NCT02352948,32201234,ARCTIC,No
NCT03036488,32101663,KEYNOTE-522,No
NCT01274338,31880964,E1609,No
NCT01274338,31880964,E1609,No
NCT02523313,32416781,IMMUNED,No
NCT02523313,32416781,IMMUNED,No
NCT01896869,32591464,,No
NCT03066778,32468956,KEYNOTE-604,No
