row_index,Follow-up duration for primary endpoint(s) in months | Overall,Cancer type,Follow-up duration for primary endpoint(s) in months | Control
1,,Melanoma,<12
2,,Melanoma,<12
3,,Melanoma,<12
4,,Melanoma,<12
5,15.1,Melanoma,12–23
6,10,Melanoma,<12
7,10,Melanoma,<12
8,28,Melanoma,≥24
9,28,Melanoma,≥24
10,5.3,Melanoma,<12
11,6,Melanoma,<12
12,24,Melanoma,≥24
13,9.6,Melanoma,<12
14,16.7,Melanoma,12–23
15,38.4,Melanoma,≥24
16,57.4,Melanoma,≥24
17,57.4,Melanoma,≥24
18,28.4,Melanoma,≥24
19,28.4,Melanoma,≥24
20,18.9,Melanoma,12–23
21,,Melanoma,<12
22,,Melanoma,<12
23,,Melanoma,<12
24,36.6,Melanoma,≥24
25,36.6,Melanoma,≥24
26,,Melanoma,<12
