row_index,NCT,Trial name,Cancer type,Type of therapy,is_combination,Monotherapy/combination
1,NCT00324155,,Melanoma,Combination,true,True
2,NCT00094653,MDX010-20,Melanoma,Monotherapy,false,False
3,NCT00094653,MDX010-20,Melanoma,Combination,true,True
4,NCT00257205,,Melanoma,Monotherapy,false,False
5,NCT02362594,EORTC 1325-MG/KEYNOTE-054,Melanoma,Monotherapy,false,False
6,NCT01704287,KEYNOTE-002,Melanoma,Monotherapy,false,False
7,NCT01704287,KEYNOTE-002,Melanoma,Monotherapy,false,False
8,NCT01704287,KEYNOTE-002,Melanoma,Monotherapy,false,False
9,NCT01704287,KEYNOTE-002,Melanoma,Monotherapy,false,False
10,NCT00636168,,Melanoma,Monotherapy,false,False
11,NCT01721746,CheckMate 037,Melanoma,Monotherapy,false,False
12,NCT01721746,CheckMate 037,Melanoma,Monotherapy,false,False
13,NCT02130466,KEYNOTE-022,Melanoma,Combination,true,True
14,NCT01721772,CheckMate 066,Melanoma,Monotherapy,false,False
15,NCT01721772,CheckMate 066,Melanoma,Monotherapy,false,False
16,NCT01274338,E1609,Melanoma,Monotherapy,false,False
17,NCT01274338,E1609,Melanoma,Monotherapy,false,False
18,NCT02523313,IMMUNED,Melanoma,Monotherapy,false,False
19,NCT02523313,IMMUNED,Melanoma,Combination,true,True
20,NCT02908672,IMspire150,Melanoma,Combination,true,True
21,NCT00094653,MDX010-20,Melanoma,Monotherapy,false,False
22,NCT00094653,MDX010-20,Melanoma,Combination,true,True
23,NCT01721772,CheckMate 066,Melanoma,Monotherapy,false,False
24,NCT02130466,KEYNOTE-022,Melanoma,Combination,true,True
25,NCT02362594,EORTC 1325-MG/KEYNOTE-054,Melanoma,Monotherapy,false,False
26,NCT00636168,,Melanoma,Monotherapy,false,False
