row_index,Number of arms category,Cancer type,Secondary endpoint
1,≥3-arm,Non-Small Cell Lung,≥3-arm
2,≥3-arm,Non-Small Cell Lung,
3,2-arm,Non-Small Cell Lung,
4,2-arm,Non-Small Cell Lung,
5,≥3-arm,Non-Small Cell Lung,
6,≥3-arm,Non-Small Cell Lung,
7,2-arm,Non-Small Cell Lung,
8,2-arm,Non-Small Cell Lung,
9,2-arm,Non-Small Cell Lung,
10,2-arm,Non-Small Cell Lung,
11,2-arm,Non-Small Cell Lung,
12,2-arm,Non-Small Cell Lung,
13,2-arm,Non-Small Cell Lung,
14,2-arm,Non-Small Cell Lung,
15,2-arm,Non-Small Cell Lung,
16,2-arm,Non-Small Cell Lung,
17,2-arm,Non-Small Cell Lung,
18,2-arm,Non-Small Cell Lung,
19,≥3-arm,Non-Small Cell Lung,
20,≥3-arm,Non-Small Cell Lung,
21,≥3-arm,Non-Small Cell Lung,
22,≥3-arm,Non-Small Cell Lung,
23,≥3-arm,Non-Small Cell Lung,
24,≥3-arm,Non-Small Cell Lung,
25,≥3-arm,Non-Small Cell Lung,
26,2-arm,Non-Small Cell Lung,
27,2-arm,Non-Small Cell Lung,
28,2-arm,Non-Small Cell Lung,
29,2-arm,Non-Small Cell Lung,
30,2-arm,Non-Small Cell Lung,
31,≥3-arm,Non-Small Cell Lung,
32,≥3-arm,Non-Small Cell Lung,
33,≥3-arm,Non-Small Cell Lung,
34,≥3-arm,Non-Small Cell Lung,
35,≥3-arm,Non-Small Cell Lung,
36,≥3-arm,Non-Small Cell Lung,
37,≥3-arm,Non-Small Cell Lung,
38,2-arm,Non-Small Cell Lung,
39,2-arm,Non-Small Cell Lung,
40,2-arm,Non-Small Cell Lung,
41,2-arm,Non-Small Cell Lung,
42,2-arm,Non-Small Cell Lung,
43,2-arm,Non-Small Cell Lung,
44,2-arm,Non-Small Cell Lung,
45,2-arm,Non-Small Cell Lung,
