row_index,NCT,Trial name,Follow-up duration for primary endpoint(s) in months | Overall,Follow-up duration for primary endpoint(s) in months | Control
1,NCT00527735,,,
2,NCT00527735,,,
3,NCT01673867,Checkmate 057,,≥24
4,NCT01642004,Checkmate 017,,≥24
5,NCT01905657,Keynote-010,,≥24
6,NCT01905657,Keynote-010,,≥24
7,NCT01903993,POPLAR,,≥24
8,NCT02041533,Checkmate 026,13.5,12–23
9,NCT01285609,,,
10,NCT02125461,PACIFIC,14.5,12–23
11,NCT02125461,PACIFIC,25.2,≥24
12,NCT02395172,JAVELIN Lung 200,18.3,12–23
13,NCT02039674,Keynote-021,10.6,<12
14,NCT02039674,Keynote-021,23.9,12–23
15,NCT02008227,OAK,21,12–23
16,NCT02008227,OAK,26,≥24
17,NCT02578680,Keynote-189,10.5,<12
18,NCT02775435,Keynote-407,7.8,<12
19,NCT02366143,IMPower150,"MIN for PFS 9.5, OS 14; MEDIAN for OS 20",12–23
20,NCT02366143,IMPower150,"MIN for PFS 9.5, OS 14; MEDIAN for OS 20",12–23
21,NCT02477826,Checkmate 227,11.2,<12
22,NCT02477826,Checkmate 227,11.2,<12
23,NCT02477826,Checkmate 227,29.3,≥24
24,NCT02477826,Checkmate 227,29.3,≥24
25,NCT02477826,Checkmate 227,29.3,≥24
26,NCT02220894,Keynote-042,12.8,12–23
27,NCT02142738,Keynote-024,25.2,≥24
28,NCT02367781,IMpower130,,
29,NCT02613507,Checkmate 078,8.8,<12
30,NCT02454933,CAURAL,,
31,NCT02352948,ARCTIC,9.1,<12
32,NCT02352948,ARCTIC,9.1,<12
33,NCT02352948,ARCTIC,9.1,<12
34,NCT02453282,MYSTIC,"30.2, 10.6",≥24
35,NCT02453282,MYSTIC,"30.2, 10.6",≥24
36,NCT02367794,IMpower131,,
37,NCT02367794,IMpower131,,
38,NCT02574598,PROLUNG,,
39,NCT02142738,Keynote-024,,
40,NCT02409342,IMpower110,13.4,12–23
41,NCT01903993,POPLAR,48.6,≥24
42,NCT02008227,OAK,47.7,≥24
43,NCT03215706,CheckMate 9LA,13.2,12–23
44,NCT03088540,EMPOWER-Lung 1,,
45,NCT02852083,ModuLung,8.3,<12
