row_index,NCT,Trial name,Follow-up duration for primary endpoint(s) in months | Overall,Follow-up duration for primary endpoint(s) in months | Control
1,NCT00527735,,,
2,NCT00527735,,,
3,NCT01673867,Checkmate 057,,9.4
4,NCT01642004,Checkmate 017,,6
5,NCT01905657,Keynote-010,,8.5
6,NCT01905657,Keynote-010,,8.5
7,NCT01903993,POPLAR,,15.7
8,NCT02041533,Checkmate 026,13.5,
9,NCT01285609,,,11.8
10,NCT02125461,PACIFIC,14.5,
11,NCT02125461,PACIFIC,25.2,
12,NCT02395172,JAVELIN Lung 200,18.3,17.8
13,NCT02039674,Keynote-021,10.6,
14,NCT02039674,Keynote-021,23.9,
15,NCT02008227,OAK,21,
16,NCT02008227,OAK,26,
17,NCT02578680,Keynote-189,10.5,
18,NCT02775435,Keynote-407,7.8,
19,NCT02366143,IMPower150,"MIN for PFS 9.5, OS 14; MEDIAN for OS 20",15.5
20,NCT02366143,IMPower150,"MIN for PFS 9.5, OS 14; MEDIAN for OS 20",15.5
21,NCT02477826,Checkmate 227,11.2,
22,NCT02477826,Checkmate 227,11.2,
23,NCT02477826,Checkmate 227,29.3,
24,NCT02477826,Checkmate 227,29.3,
25,NCT02477826,Checkmate 227,29.3,
26,NCT02220894,Keynote-042,12.8,
27,NCT02142738,Keynote-024,25.2,
28,NCT02367781,IMpower130,,19.2
29,NCT02613507,Checkmate 078,8.8,MEDIAN 8.8
30,NCT02454933,CAURAL,,
31,NCT02352948,ARCTIC,9.1,
32,NCT02352948,ARCTIC,9.1,
33,NCT02352948,ARCTIC,9.1,
34,NCT02453282,MYSTIC,"30.2, 10.6",
35,NCT02453282,MYSTIC,"30.2, 10.6",
36,NCT02367794,IMpower131,,"24.8, 16.1"
37,NCT02367794,IMpower131,,"24.8, 16.1"
38,NCT02574598,PROLUNG,,
39,NCT02142738,Keynote-024,,6
40,NCT02409342,IMpower110,13.4,
41,NCT01903993,POPLAR,48.6,
42,NCT02008227,OAK,47.7,
43,NCT03215706,CheckMate 9LA,13.2,
44,NCT03088540,EMPOWER-Lung 1,,10.9
45,NCT02852083,ModuLung,8.3,
