row_index,NCT,Trial name,Number of arms,Secondary endpoint
1,NCT02425891,IMpassion130,2,"investigator-assessed RECIST v1.1 ORR,  DoR"
2,NCT02685059,GeparNuevo,2,"response rate by other path CR definitions (ypT0/is ypN0, ypT0/is ypN0/þ, and ypN0) and by clinical and imaging assessment; rate of breast conserving surgery and axilla lymph node dissection; efficacy in predefined subgroups according to centrally assessed sTILs [low ( 10%), intermediate (11%–59%), high ( 60%)]"
3,NCT01042379,I-SPY2,2,residual cancer burden (RCB) and 3-year event-free and distant recurrence-free survival.
4,NCT02425891,IMpassion130,2,"investigator-assessed RECIST v1.1 ORR,  DoR"
5,NCT03036488,KEYNOTE-522,2,"pathological complete response, a pathological complete response according to all definitions in patients with PD-L1–positive tumors, eventfree survival among patients with PD-L1–positive tumors, and OS among all patients and patients with PD-L1–positive tumors."
6,NCT03051659,,2,"PFS per irRECIST, ORR, OS, DoR, clinical benefit rate, safety, tolerability"
7,NCT02819518,MK-3475/Keynote-355,2,"ORR, DoR, DCR"
8,NCT03197935,IMpassion031,2,"OS, Event free survival , disease free survival"
9,NCT02924883,KATE2,2,"OS, ORR, DOR"
10,NCT02299999,SAFIR02-BREAST IMMUNO,2,OS
11,NCT02555657,Keynote-119,2,PFS; ORR; DCR; DoR; safety
