row_index,NCT,Trial name,Control regimen,Control arm
1,NCT00324155,,Dacarbazine,Dacarbazine
2,NCT00257205,,Temozolomide/dacarbazine,"['dacarbazine', 'temozolomide']"
3,NCT01704287,KEYNOTE-002,Investigator's choice chemotherapy,"['Carboplatin', 'Paclitaxel', 'Dacarbazine', 'Temozolomide']"
4,NCT01704287,KEYNOTE-002,Investigator's choice chemotherapy,"['Carboplatin', 'Paclitaxel', 'Dacarbazine', 'Temozolomide']"
5,NCT01704287,KEYNOTE-002,Investigator's choice chemotherapy,"['Carboplatin', 'Paclitaxel', 'Dacarbazine', 'Temozolomide']"
6,NCT01704287,KEYNOTE-002,Investigator's choice chemotherapy,"['Carboplatin', 'Paclitaxel', 'Dacarbazine', 'Temozolomide']"
7,NCT01721746,CheckMate 037,Dacarbazine/carboplatin+paclitaxel,"['Dacarbazine', 'Carboplatin', 'Paclitaxel']"
8,NCT01721746,CheckMate 037,Dacarbazine/carboplatin+paclitaxel,"['Dacarbazine', 'Carboplatin', 'Paclitaxel']"
9,NCT01721772,CheckMate 066,Dacarbazine,Dacarbazine
10,NCT01721772,CheckMate 066,Dacarbazine,Dacarbazine
11,NCT01721772,CheckMate 066,Dacarbazine,Dacarbazine
