row_index,NCT,Trial name,Treatment regimen,Control regimen
1,NCT02425891,IMpassion130,Atezolizumab+Nab-paclitaxel,Nab-paclitaxel
2,NCT02788279,IMblaze130,Atezolizumab+Cobimetinib,Regorafenib
3,NCT01984242,IMmotion150,Atezolizumab+Bevacizumab,Sunitinib
4,NCT02420821,IMmotion151,Atezolizumab+Bevacizumab,Sunitinib
5,NCT02763579,IMPower 133,Atezolizumab+Etoposide+Carboplatin,Placebo+Carboplatin+Etoposide
6,NCT02366143,IMPower150,Atezolizumab+Carboplatin+Paclitaxel,Bevacizumab+Carboplatin+Paclitaxel
7,NCT02366143,IMPower150,Atezolizumab+Carboplatin+Paclitaxel+Bevacizumab,Bevacizumab+Carboplatin+Paclitaxel
8,NCT02367781,IMpower130,Atezolizumab+Carboplatin+Nab-paclitaxel,Carboplatin+Nab-Paclitaxel
9,NCT02425891,IMpassion130,Atezolizumab+Nab-paclitaxel,Nab-paclitaxel
10,NCT02763579,IMpower133,Atezolizumab+Carboplatin+Etoposide,Placebo+Carboplatin+Etoposide
11,NCT02367794,IMpower131,Atezolizumab+Carboplatin+Paclitaxel,Carboplatin+Paclitaxel
12,NCT02367794,IMpower131,Atezolizumab+Carboplatin+Nab-paclitaxel,Carboplatin+Nab-Paclitaxel
13,NCT02908672,IMspire150,Atezolizumab+Vemurafenib+Cobimetinib,Cobimetinib+Vemurafenib
14,NCT02807636,IMvigor130,Atezolizumab+Gemcitabine+Carboplatin or Cisplatin,Gemcitabine+Carboplatin/Cisplatin
15,NCT03434379,IMbrave150,Atezolizumab+Bevacizumab,Sorafenib
16,NCT03197935,IMpassion031,Atezolizumab+Nab-paclitaxel+Doxorubicin+Cyclophosphamide+Filgrastim/Pegfilgrastim,Nab-paclitaxel+Doxorubicin+Cyclophosphamide+Filgrastim/Pegfilgrastim
17,NCT02657434,Impower 132,Atezolizumab+Carboplatin/Cisplatin+Pemetrexed,Carboplatin/Cisplatin+Pemetrexed
