row_index,NCT,Trial name,Treatment regimen,Name of ICI,Control regimen
1,NCT02425891,IMpassion130,Atezolizumab+Nab-paclitaxel,Atezolizumab,
2,NCT02685059,GeparNuevo,Durvalumab+Nab-paclitaxel+epirubicin+cyclophosphamide,Durvalumab,
3,NCT01984242,IMmotion150,Atezolizumab+Bevacizumab,Atezolizumab,
4,NCT00527735,,Concurrent ipilimumab+Paclitaxel+Carboplatin,Ipilimumab,
5,NCT00527735,,Phased ipilimumab+Paclitaxel+Carboplatin,Ipilimumab,
6,NCT00527735,,Concurrent ipilimumab+Paclitaxel+Carboplatin,Ipilimumab,
7,NCT00527735,,Phased ipilimumab+Paclitaxel+Carboplatin,Ipilimumab,
8,NCT01450761,CA184-156,Ipilimumab+Etoposide+Platinum agent,Ipilimumab,
9,NCT01285609,,Ipilimumab+Paclitaxel+Carboplatin,Ipilimumab,
10,NCT02039674,Keynote-021,Pembrolizumab+Pemetrexed+Carboplatin,Pembrolizumab,
11,NCT02039674,Keynote-021,Pembrolizumab+Pemetrexed+Carboplatin,Pembrolizumab,
12,NCT02578680,Keynote-189,Pembrolizumab+Platinum agent,Pembrolizumab,
13,NCT02763579,IMPower 133,Atezolizumab+Etoposide+Carboplatin,Atezolizumab,
14,NCT02775435,Keynote-407,Pembrolizumab+Carboplatin+Paclitaxel/nab-paclitaxel,Pembrolizumab,
15,NCT02366143,IMPower150,Atezolizumab+Carboplatin+Paclitaxel,Atezolizumab,
16,NCT02477826,Checkmate 227,Nivolumab+Chemotherapy,Nivolumab,
17,NCT02367781,IMpower130,Atezolizumab+Carboplatin+Nab-paclitaxel,Atezolizumab,
18,NCT00324155,,Ipilimumab+Dacarbazine,Ipilimumab,
19,NCT02576977,KEYNOTE-183,Pembrolizumab+Pomalidomide+Dexamethasone,Pembrolizumab,
20,NCT02579863,KEYNOTE-185,Pembrolizumab+Lenalidomide+Dexamethasone,Pembrolizumab,
21,NCT01042379,I-SPY2,Pembrolizumab+Paclitaxel,Pembrolizumab,
22,NCT03043872,CASPIAN,Durvalumab+Etoposide+Platinum agent,Durvalumab,
23,NCT02425891,IMpassion130,Atezolizumab+Nab-paclitaxel,Atezolizumab,
24,NCT02358031,KEYNOTE-048,Pembrolizumab+Platinum agent+5-Fluorouracil,Pembrolizumab,
25,NCT02763579,IMpower133,Atezolizumab+Carboplatin+Etoposide,Atezolizumab,
26,NCT03036488,KEYNOTE-522,Pembrolizumab+Paclitaxel+Carboplatin,Pembrolizumab,
27,NCT03066778,KEYNOTE-604,Pembrolizumab+Etoposide+Platinum agent,Pembrolizumab,
28,NCT02367794,IMpower131,Atezolizumab+Carboplatin+Paclitaxel,Atezolizumab,
29,NCT02367794,IMpower131,Atezolizumab+Carboplatin+Nab-paclitaxel,Atezolizumab,
30,NCT02807636,IMvigor130,Atezolizumab+Gemcitabine+Carboplatin or Cisplatin,Atezolizumab,
31,NCT02574598,PROLUNG,Pembrolizumab+ Docetaxel,Pembrolizumab,
32,NCT03051659,,Pembrolizumab+Eribulin,Pembrolizumab,
33,NCT02494583,Keynote-062,Pembrolizumab+Cisplatin+5-FU+Capecitabine,Pembrolizumab,
34,NCT02819518,MK-3475/Keynote-355,Pembrolizumab+nab-paclitaxel/paclitaxel/gemcitabine+ carboplatin,Pembrolizumab,
35,NCT03197935,IMpassion031,Atezolizumab+Nab-paclitaxel+Doxorubicin+Cyclophosphamide+Filgrastim/Pegfilgrastim,Atezolizumab,
36,NCT02625610,Javelin Gastric 100,Avelumab,Avelumab,
37,NCT02657434,Impower 132,Atezolizumab+Carboplatin/Cisplatin+Pemetrexed,Atezolizumab,
38,NCT03043872,CASPIAN,Durvalumab+Etoposide+Platinum agent,Durvalumab,
