row_index,NCT,Trial name,Follow-up duration for primary endpoint(s) in months | Overall,Follow-up duration for primary endpoint(s) in months | Control
1,NCT01668784,CheckMate 025,14,≥24
2,NCT01984242,IMmotion150,20.7,≥24
3,NCT01984242,IMmotion150,20.7,≥24
4,NCT02231749,CheckMate 214,25.2,≥24
5,NCT02231749,CheckMate 214,32.4,≥24
6,NCT02684006,JAVELIN Renal 101,,
7,NCT02853331,KEYNOTE-426,12.8,12–23
8,NCT02420821,IMmotion151,"24, 15",≥24
9,NCT02231749,CheckMate 214,42,≥24
10,NCT01668784,CheckMate 025,,
11,NCT02684006,JAVELIN Renal 101,,
12,NCT02853331,Keynote-426,30.6,≥24
13,NCT02811861,CLEAR,26.6,≥24
14,NCT03141177,CheckMate 9ER,18.1,12–23
