row_index,NCT,Trial name,Is any other biomarker used for inclusion
1,NCT00324155,,False
2,NCT00094653,MDX010-20,True
3,NCT00094653,MDX010-20,True
4,NCT00257205,,False
5,NCT02362594,EORTC 1325-MG/KEYNOTE-054,False
6,NCT01704287,KEYNOTE-002,False
7,NCT01704287,KEYNOTE-002,False
8,NCT01704287,KEYNOTE-002,False
9,NCT01704287,KEYNOTE-002,False
10,NCT00636168,,False
11,NCT01721746,CheckMate 037,False
12,NCT01721746,CheckMate 037,False
13,NCT02130466,KEYNOTE-022,True
14,NCT01721772,CheckMate 066,False
15,NCT01721772,CheckMate 066,False
16,NCT01274338,E1609,False
17,NCT01274338,E1609,False
18,NCT02523313,IMMUNED,False
19,NCT02523313,IMMUNED,False
20,NCT02908672,IMspire150,True
21,NCT00094653,MDX010-20,True
22,NCT00094653,MDX010-20,True
23,NCT01721772,CheckMate 066,False
24,NCT02130466,KEYNOTE-022,True
25,NCT02362594,EORTC 1325-MG/KEYNOTE-054,False
26,NCT00636168,,False
