row_index,NCT,Trial name,Type of therapy,Monotherapy/combination
1,NCT00527735,,Combination,Combination
2,NCT00527735,,Combination,Combination
3,NCT01673867,Checkmate 057,Monotherapy,Monotherapy
4,NCT01642004,Checkmate 017,Monotherapy,Monotherapy
5,NCT01905657,Keynote-010,Monotherapy,Monotherapy
6,NCT01905657,Keynote-010,Monotherapy,Monotherapy
7,NCT01903993,POPLAR,Monotherapy,Monotherapy
8,NCT02041533,Checkmate 026,Monotherapy,Monotherapy
9,NCT01285609,,Combination,Combination
10,NCT02125461,PACIFIC,Monotherapy,Monotherapy
11,NCT02125461,PACIFIC,Monotherapy,Monotherapy
12,NCT02395172,JAVELIN Lung 200,Monotherapy,Monotherapy
13,NCT02039674,Keynote-021,Combination,Combination
14,NCT02039674,Keynote-021,Combination,Combination
15,NCT02008227,OAK,Monotherapy,Monotherapy
16,NCT02008227,OAK,Monotherapy,Monotherapy
17,NCT02578680,Keynote-189,Combination,Combination
18,NCT02775435,Keynote-407,Combination,Combination
19,NCT02366143,IMPower150,Combination,Combination
20,NCT02366143,IMPower150,Combination,Combination
21,NCT02477826,Checkmate 227,Combination,Combination
22,NCT02477826,Checkmate 227,Monotherapy,Monotherapy
23,NCT02477826,Checkmate 227,Combination,Combination
24,NCT02477826,Checkmate 227,Monotherapy,Monotherapy
25,NCT02477826,Checkmate 227,Combination,Combination
26,NCT02220894,Keynote-042,Monotherapy,Monotherapy
27,NCT02142738,Keynote-024,Monotherapy,Monotherapy
28,NCT02367781,IMpower130,Combination,Combination
29,NCT02613507,Checkmate 078,Monotherapy,Monotherapy
30,NCT02454933,CAURAL,Combination,Combination
31,NCT02352948,ARCTIC,Monotherapy,Monotherapy
32,NCT02352948,ARCTIC,Monotherapy,Monotherapy
33,NCT02352948,ARCTIC,Combination,Combination
34,NCT02453282,MYSTIC,Monotherapy,Monotherapy
35,NCT02453282,MYSTIC,Combination,Combination
36,NCT02367794,IMpower131,Combination,Combination
37,NCT02367794,IMpower131,Combination,Combination
38,NCT02574598,PROLUNG,Combination,Combination
39,NCT02142738,Keynote-024,Monotherapy,Monotherapy
40,NCT02409342,IMpower110,Monotherapy,Monotherapy
41,NCT01903993,POPLAR,Monotherapy,Monotherapy
42,NCT02008227,OAK,Monotherapy,Monotherapy
43,NCT03215706,CheckMate 9LA,Combination,Combination
44,NCT03088540,EMPOWER-Lung 1,Monotherapy,Monotherapy
45,NCT02852083,ModuLung,Monotherapy,Monotherapy
