row_index,NCT,Trial name,Number of arms,Secondary endpoint
1,NCT01668784,CheckMate 025,2,Overall survival
2,NCT01984242,IMmotion150,3,Overall survival
3,NCT01984242,IMmotion150,3,Overall survival
4,NCT02231749,CheckMate 214,2,Overall survival
5,NCT02231749,CheckMate 214,2,Overall survival
6,NCT02684006,JAVELIN Renal 101,2,Overall survival
7,NCT02853331,KEYNOTE-426,2,Overall survival
8,NCT02420821,IMmotion151,2,Overall survival
9,NCT02231749,CheckMate 214,2,Overall survival
10,NCT01668784,CheckMate 025,2,Overall survival
11,NCT02684006,JAVELIN Renal 101,2,Overall survival
12,NCT02853331,Keynote-426,2,Overall survival
13,NCT02811861,CLEAR,3,Progression-free survival
14,NCT03141177,CheckMate 9ER,2,Progression-free survival
