row_index,NCT,Trial name,Number of arms,Secondary endpoint
1,NCT00527735,,3,Overall Survival
2,NCT00527735,,3,Overall Survival
3,NCT01673867,Checkmate 057,2,Overall Survival
4,NCT01642004,Checkmate 017,2,Overall Survival
5,NCT01905657,Keynote-010,3,Overall Survival
6,NCT01905657,Keynote-010,3,Overall Survival
7,NCT01903993,POPLAR,2,Overall Survival
8,NCT02041533,Checkmate 026,2,Progression-Free Survival
9,NCT01285609,,2,Overall Survival
10,NCT02125461,PACIFIC,2,Progression-Free Survival
11,NCT02125461,PACIFIC,2,Progression-Free Survival
12,NCT02395172,JAVELIN Lung 200,2,Overall Survival
13,NCT02039674,Keynote-021,2,Progression-Free Survival
14,NCT02039674,Keynote-021,2,Progression-Free Survival
15,NCT02008227,OAK,2,Overall Survival
16,NCT02008227,OAK,2,Overall Survival
17,NCT02578680,Keynote-189,2,Progression-Free Survival
18,NCT02775435,Keynote-407,2,Progression-Free Survival
19,NCT02366143,IMPower150,3,Progression-Free Survival
20,NCT02366143,IMPower150,3,Progression-Free Survival
21,NCT02477826,Checkmate 227,3,Progression-Free Survival
22,NCT02477826,Checkmate 227,3,Progression-Free Survival
23,NCT02477826,Checkmate 227,4,Progression-Free Survival
24,NCT02477826,Checkmate 227,4,Progression-Free Survival
25,NCT02477826,Checkmate 227,4,Progression-Free Survival
26,NCT02220894,Keynote-042,2,Progression-Free Survival
27,NCT02142738,Keynote-024,2,Progression-Free Survival
28,NCT02367781,IMpower130,2,Progression-Free Survival
29,NCT02613507,Checkmate 078,2,Overall Survival
30,NCT02454933,CAURAL,2,Progression-Free Survival
31,NCT02352948,ARCTIC,4,Progression-Free Survival
32,NCT02352948,ARCTIC,4,Progression-Free Survival
33,NCT02352948,ARCTIC,4,Progression-Free Survival
34,NCT02453282,MYSTIC,3,Progression-Free Survival
35,NCT02453282,MYSTIC,3,Progression-Free Survival
36,NCT02367794,IMpower131,3,Progression-Free Survival
37,NCT02367794,IMpower131,3,Progression-Free Survival
38,NCT02574598,PROLUNG,2,Overall Survival
39,NCT02142738,Keynote-024,2,Progression-Free Survival
40,NCT02409342,IMpower110,2,Progression-Free Survival
41,NCT01903993,POPLAR,2,Overall Survival
42,NCT02008227,OAK,2,Overall Survival
43,NCT03215706,CheckMate 9LA,2,Progression-Free Survival
44,NCT03088540,EMPOWER-Lung 1,2,Progression-Free Survival
45,NCT02852083,ModuLung,2,Progression-Free Survival
