row_index,Treatment regimen,Control regimen
1,Pembrolizumab+Axitinib,
2,Pembrolizumab+Pemetrexed+Carboplatin,
3,Pembrolizumab+Pemetrexed+Carboplatin,
4,Pembrolizumab+Platinum agent,
5,Pembrolizumab+Carboplatin+Paclitaxel/nab-paclitaxel,
6,Pembrolizumab+Dabrafenib+Trametinib,
7,Pembrolizumab+Pomalidomide+Dexamethasone,
8,Pembrolizumab+Lenalidomide+Dexamethasone,
9,Pembrolizumab+Paclitaxel,
10,Pembrolizumab+Platinum agent+5-Fluorouracil,
11,Pembrolizumab+Acalabrutinib,
12,Pembrolizumab+Paclitaxel+Carboplatin,
13,Pembrolizumab+Etoposide+Platinum agent,
14,Pembrolizumab+ Docetaxel,
15,Pembrolizumab+Eribulin,
16,Pembrolizumab+Cisplatin+5-FU+Capecitabine,
17,Pembrolizumab+nab-paclitaxel/paclitaxel/gemcitabine+ carboplatin,
18,Pembrolizumab+Axitinib,
19,Pembrolizumab+Dabrafenib+Trametinib,
20,Pembrolizumab+Lenvatinib,
