row_index,Treatment regimen,Control regimen
1,Atezolizumab+Nab-paclitaxel,
2,Durvalumab+Nab-paclitaxel+epirubicin+cyclophosphamide,
3,Atezolizumab+Bevacizumab,
4,Concurrent ipilimumab+Paclitaxel+Carboplatin,
5,Phased ipilimumab+Paclitaxel+Carboplatin,
6,Concurrent ipilimumab+Paclitaxel+Carboplatin,
7,Phased ipilimumab+Paclitaxel+Carboplatin,
8,Ipilimumab+Etoposide+Platinum agent,
9,Ipilimumab+Paclitaxel+Carboplatin,
10,Pembrolizumab+Pemetrexed+Carboplatin,
11,Pembrolizumab+Pemetrexed+Carboplatin,
12,Pembrolizumab+Platinum agent,
13,Atezolizumab+Etoposide+Carboplatin,
14,Pembrolizumab+Carboplatin+Paclitaxel/nab-paclitaxel,
15,Atezolizumab+Carboplatin+Paclitaxel,
16,Nivolumab+Chemotherapy,
17,Atezolizumab+Carboplatin+Nab-paclitaxel,
18,Ipilimumab+Dacarbazine,
19,Pembrolizumab+Pomalidomide+Dexamethasone,
20,Pembrolizumab+Lenalidomide+Dexamethasone,
21,Pembrolizumab+Paclitaxel,
22,Durvalumab+Etoposide+Platinum agent,
23,Atezolizumab+Nab-paclitaxel,
24,Pembrolizumab+Platinum agent+5-Fluorouracil,
25,Atezolizumab+Carboplatin+Etoposide,
26,Pembrolizumab+Paclitaxel+Carboplatin,
27,Pembrolizumab+Etoposide+Platinum agent,
28,Atezolizumab+Carboplatin+Paclitaxel,
29,Atezolizumab+Carboplatin+Nab-paclitaxel,
30,Atezolizumab+Gemcitabine+Carboplatin or Cisplatin,
31,Pembrolizumab+ Docetaxel,
32,Pembrolizumab+Eribulin,
33,Pembrolizumab+Cisplatin+5-FU+Capecitabine,
34,Pembrolizumab+nab-paclitaxel/paclitaxel/gemcitabine+ carboplatin,
35,Atezolizumab+Nab-paclitaxel+Doxorubicin+Cyclophosphamide+Filgrastim/Pegfilgrastim,
36,Avelumab,
37,Atezolizumab+Carboplatin/Cisplatin+Pemetrexed,
38,Durvalumab+Etoposide+Platinum agent,
