row_index,Follow-up duration for primary endpoint(s) in months | Overall,Follow-up duration for primary endpoint(s) in months | Control
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,13.5,12–23
9,,
10,14.5,12–23
11,25.2,≥24
12,18.3,12–23
13,10.6,<12
14,23.9,12–23
15,21,12–23
16,26,≥24
17,10.5,<12
18,7.8,<12
19,"MIN for PFS 9.5, OS 14; MEDIAN for OS 20",12–23
20,"MIN for PFS 9.5, OS 14; MEDIAN for OS 20",12–23
21,11.2,<12
22,11.2,<12
23,29.3,≥24
24,29.3,≥24
25,29.3,≥24
26,12.8,12–23
27,25.2,≥24
28,,
29,8.8,<12
30,,
31,9.1,<12
32,9.1,<12
33,9.1,<12
34,"30.2, 10.6",≥24
35,"30.2, 10.6",≥24
36,,
37,,
38,,
39,,
40,13.4,12–23
41,48.6,≥24
42,47.7,≥24
43,13.2,12–23
44,,
45,8.3,<12
