row_index,NCT,Trial name,Number of arms,Secondary endpoint
1,NCT01668784,CheckMate 025,2,2-arm
2,NCT01984242,IMmotion150,3,≥3-arm
3,NCT01984242,IMmotion150,3,≥3-arm
4,NCT02231749,CheckMate 214,2,2-arm
5,NCT02231749,CheckMate 214,2,2-arm
6,NCT02684006,JAVELIN Renal 101,2,2-arm
7,NCT02853331,KEYNOTE-426,2,2-arm
8,NCT02420821,IMmotion151,2,2-arm
9,NCT02231749,CheckMate 214,2,2-arm
10,NCT01668784,CheckMate 025,2,2-arm
11,NCT02684006,JAVELIN Renal 101,2,2-arm
12,NCT02853331,Keynote-426,2,2-arm
13,NCT02811861,CLEAR,3,≥3-arm
14,NCT03141177,CheckMate 9ER,2,2-arm
