row_index,NCT,Trial name,Primary endpoint,Follow-up duration for primary endpoint(s) in months | Overall
1,NCT02256436,Keynote-045,OS+PFS,
2,NCT02256436,Keynote-045,OS+PFS,
3,NCT02425891,IMpassion130,OS+PFS,
4,NCT02370498,Keynote-061,OS+PFS,
5,NCT02231749,CheckMate 214,OS+PFS+ORR,
6,NCT02231749,CheckMate 214,OS+PFS+ORR,
7,NCT02684006,JAVELIN Renal 101,OS+PFS,
8,NCT02853331,KEYNOTE-426,OS+PFS,
9,NCT02420821,IMmotion151,OS+PFS,
10,NCT01905657,Keynote-010,OS+PFS,
11,NCT01905657,Keynote-010,OS+PFS,
12,NCT02125461,PACIFIC,OS+PFS,
13,NCT02125461,PACIFIC,OS+PFS,
14,NCT02578680,Keynote-189,OS+PFS,
15,NCT02763579,IMPower 133,OS+PFS,
16,NCT02775435,Keynote-407,OS+PFS,
17,NCT02366143,IMPower150,OS+PFS,
18,NCT02366143,IMPower150,OS+PFS,
19,NCT02477826,Checkmate 227,OS+PFS,
20,NCT02477826,Checkmate 227,OS+PFS,
21,NCT02367781,IMpower130,OS+PFS,
22,NCT01704287,KEYNOTE-002,OS+PFS,
23,NCT01704287,KEYNOTE-002,OS+PFS,
24,NCT01704287,KEYNOTE-002,OS+PFS,
25,NCT01704287,KEYNOTE-002,OS+PFS,
26,NCT01721746,CheckMate 037,OS+ORR,
27,NCT01721746,CheckMate 037,OS+ORR,
28,NCT02576977,KEYNOTE-183,OS+PFS,
29,NCT02702401,KEYNOTE-240,OS+PFS,
30,NCT02425891,IMpassion130,OS+PFS,
31,NCT02358031,KEYNOTE-048,OS+PFS,
32,NCT02358031,KEYNOTE-048,OS+PFS,
33,NCT02763579,IMpower133,OS+PFS,
34,NCT02352948,ARCTIC,OS+PFS,
35,NCT02352948,ARCTIC,OS+PFS,
36,NCT02352948,ARCTIC,OS+PFS,
37,NCT03036488,KEYNOTE-522,Path CR+EFS,
38,NCT01274338,E1609,OS+RFS,
39,NCT01274338,E1609,OS+RFS,
40,NCT03066778,KEYNOTE-604,OS+PFS,
41,NCT02453282,MYSTIC,OS+PFS,
42,NCT02453282,MYSTIC,OS+PFS,
43,NCT02231749,CheckMate 214,OS+PFS+ORR,
44,NCT02367794,IMpower131,OS+PFS,
45,NCT02367794,IMpower131,OS+PFS,
46,NCT02807636,IMvigor130,OS+PFS,
47,NCT02807636,IMvigor130,OS+PFS,
48,NCT03434379,IMbrave150,OS+PFS,
49,NCT02684006,JAVELIN Renal 101,OS+PFS,
50,NCT02494583,Keynote-062,OS+PFS,
51,NCT02494583,Keynote-062,OS+PFS,
52,NCT02819518,MK-3475/Keynote-355,OS+PFS,
53,NCT02516241,DANUBE,OS,
54,NCT02516241,DANUBE,OS,
55,NCT03197935,IMpassion031,Path CR in ITT+Path CR in PD-L1+,
56,NCT02853331,Keynote-426,OS+PFS,
57,NCT02657434,Impower 132,PFS+OS,
58,NCT02563002,MK-3475/Keynote-177,PFS+OS,
59,NCT02362594,EORTC 1325-MG/KEYNOTE-054,RFS,
60,NCT03088540,EMPOWER-Lung 1,OS+PFS,
