row_index,NCT,Trial name,Type of therapy,Cancer type,Monotherapy/combination
1,NCT00324155,,Combination,Melanoma,True
2,NCT00094653,MDX010-20,Monotherapy,Melanoma,False
3,NCT00094653,MDX010-20,Combination,Melanoma,True
4,NCT00257205,,Monotherapy,Melanoma,False
5,NCT02362594,EORTC 1325-MG/KEYNOTE-054,Monotherapy,Melanoma,False
6,NCT01704287,KEYNOTE-002,Monotherapy,Melanoma,False
7,NCT01704287,KEYNOTE-002,Monotherapy,Melanoma,False
8,NCT01704287,KEYNOTE-002,Monotherapy,Melanoma,False
9,NCT01704287,KEYNOTE-002,Monotherapy,Melanoma,False
10,NCT00636168,,Monotherapy,Melanoma,False
11,NCT01721746,CheckMate 037,Monotherapy,Melanoma,False
12,NCT01721746,CheckMate 037,Monotherapy,Melanoma,False
13,NCT02130466,KEYNOTE-022,Combination,Melanoma,True
14,NCT01721772,CheckMate 066,Monotherapy,Melanoma,False
15,NCT01721772,CheckMate 066,Monotherapy,Melanoma,False
16,NCT01274338,E1609,Monotherapy,Melanoma,False
17,NCT01274338,E1609,Monotherapy,Melanoma,False
18,NCT02523313,IMMUNED,Monotherapy,Melanoma,False
19,NCT02523313,IMMUNED,Combination,Melanoma,True
20,NCT02908672,IMspire150,Combination,Melanoma,True
21,NCT00094653,MDX010-20,Monotherapy,Melanoma,False
22,NCT00094653,MDX010-20,Combination,Melanoma,True
23,NCT01721772,CheckMate 066,Monotherapy,Melanoma,False
24,NCT02130466,KEYNOTE-022,Combination,Melanoma,True
25,NCT02362594,EORTC 1325-MG/KEYNOTE-054,Monotherapy,Melanoma,False
26,NCT00636168,,Monotherapy,Melanoma,False
