row_index,NCT,Trial name,Follow-up duration for primary endpoint(s) in months | Overall,Follow-up duration for primary endpoint(s) in months | Control
1,NCT00324155,,,
2,NCT00094653,MDX010-20,,
3,NCT00094653,MDX010-20,,
4,NCT00257205,,,
5,NCT02362594,EORTC 1325-MG/KEYNOTE-054,15.1,12–23
6,NCT01704287,KEYNOTE-002,10,<12
7,NCT01704287,KEYNOTE-002,10,<12
8,NCT01704287,KEYNOTE-002,28,≥24
9,NCT01704287,KEYNOTE-002,28,≥24
10,NCT00636168,,5.3,<12
11,NCT01721746,CheckMate 037,6,<12
12,NCT01721746,CheckMate 037,24,≥24
13,NCT02130466,KEYNOTE-022,9.6,<12
14,NCT01721772,CheckMate 066,16.7,12–23
15,NCT01721772,CheckMate 066,38.4,≥24
16,NCT01274338,E1609,57.4,≥24
17,NCT01274338,E1609,57.4,≥24
18,NCT02523313,IMMUNED,28.4,≥24
19,NCT02523313,IMMUNED,28.4,≥24
20,NCT02908672,IMspire150,18.9,12–23
21,NCT00094653,MDX010-20,,
22,NCT00094653,MDX010-20,,
23,NCT01721772,CheckMate 066,,
24,NCT02130466,KEYNOTE-022,36.6,≥24
25,NCT02362594,EORTC 1325-MG/KEYNOTE-054,36.6,≥24
26,NCT00636168,,,
