row_index,NCT,Trial name,Type of therapy,Cancer type,Monotherapy/combination
1,NCT00527735,,Combination,Non-Small Cell Lung,True
2,NCT00527735,,Combination,Non-Small Cell Lung,True
3,NCT01673867,Checkmate 057,Monotherapy,Non-Small Cell Lung,False
4,NCT01642004,Checkmate 017,Monotherapy,Non-Small Cell Lung,False
5,NCT01905657,Keynote-010,Monotherapy,Non-Small Cell Lung,False
6,NCT01905657,Keynote-010,Monotherapy,Non-Small Cell Lung,False
7,NCT01903993,POPLAR,Monotherapy,Non-Small Cell Lung,False
8,NCT02041533,Checkmate 026,Monotherapy,Non-Small Cell Lung,False
9,NCT01285609,,Combination,Non-Small Cell Lung,True
10,NCT02125461,PACIFIC,Monotherapy,Non-Small Cell Lung,False
11,NCT02125461,PACIFIC,Monotherapy,Non-Small Cell Lung,False
12,NCT02395172,JAVELIN Lung 200,Monotherapy,Non-Small Cell Lung,False
13,NCT02039674,Keynote-021,Combination,Non-Small Cell Lung,True
14,NCT02039674,Keynote-021,Combination,Non-Small Cell Lung,True
15,NCT02008227,OAK,Monotherapy,Non-Small Cell Lung,False
16,NCT02008227,OAK,Monotherapy,Non-Small Cell Lung,False
17,NCT02578680,Keynote-189,Combination,Non-Small Cell Lung,True
18,NCT02775435,Keynote-407,Combination,Non-Small Cell Lung,True
19,NCT02366143,IMPower150,Combination,Non-Small Cell Lung,True
20,NCT02366143,IMPower150,Combination,Non-Small Cell Lung,True
21,NCT02477826,Checkmate 227,Combination,Non-Small Cell Lung,True
22,NCT02477826,Checkmate 227,Monotherapy,Non-Small Cell Lung,False
23,NCT02477826,Checkmate 227,Combination,Non-Small Cell Lung,True
24,NCT02477826,Checkmate 227,Monotherapy,Non-Small Cell Lung,False
25,NCT02477826,Checkmate 227,Combination,Non-Small Cell Lung,True
26,NCT02220894,Keynote-042,Monotherapy,Non-Small Cell Lung,False
27,NCT02142738,Keynote-024,Monotherapy,Non-Small Cell Lung,False
28,NCT02367781,IMpower130,Combination,Non-Small Cell Lung,True
29,NCT02613507,Checkmate 078,Monotherapy,Non-Small Cell Lung,False
30,NCT02454933,CAURAL,Combination,Non-Small Cell Lung,True
31,NCT02352948,ARCTIC,Monotherapy,Non-Small Cell Lung,False
32,NCT02352948,ARCTIC,Monotherapy,Non-Small Cell Lung,False
33,NCT02352948,ARCTIC,Combination,Non-Small Cell Lung,True
34,NCT02453282,MYSTIC,Monotherapy,Non-Small Cell Lung,False
35,NCT02453282,MYSTIC,Combination,Non-Small Cell Lung,True
36,NCT02367794,IMpower131,Combination,Non-Small Cell Lung,True
37,NCT02367794,IMpower131,Combination,Non-Small Cell Lung,True
38,NCT02574598,PROLUNG,Combination,Non-Small Cell Lung,True
39,NCT02142738,Keynote-024,Monotherapy,Non-Small Cell Lung,False
40,NCT02409342,IMpower110,Monotherapy,Non-Small Cell Lung,False
41,NCT01903993,POPLAR,Monotherapy,Non-Small Cell Lung,False
42,NCT02008227,OAK,Monotherapy,Non-Small Cell Lung,False
43,NCT03215706,CheckMate 9LA,Combination,Non-Small Cell Lung,True
44,NCT03088540,EMPOWER-Lung 1,Monotherapy,Non-Small Cell Lung,False
45,NCT02852083,ModuLung,Monotherapy,Non-Small Cell Lung,False
