row_index,Number of arms,Secondary endpoint
1,3,"Immune-related PFS; modified WHO criteria PFS; OS; modified WHO criteria best overall response rate; irBORR (proportion of patients with irCR or irPR);  modified WHO criteria disease control rate; irDCR (proportion of patients with irCR, irPR or irSD) | PFS; objective response; OS at 18 months; PFS at 6 and 12 months; safety; pharmacokinetics; immunogenicity; symptoms and health-related quality of life assessments. | PFS, ORR, OS at 18 months, PFS, safety, pharmacokinetics, immunogenicity, HRQOL | OS in Arm 2 vs Arm 3; PFS"
2,3,"Immune-related PFS; modified WHO criteria PFS; OS; modified WHO criteria best overall response rate; irBORR (proportion of patients with irCR or irPR);  modified WHO criteria disease control rate; irDCR (proportion of patients with irCR, irPR or irSD) | PFS; objective response; OS at 18 months; PFS at 6 and 12 months; safety; pharmacokinetics; immunogenicity; symptoms and health-related quality of life assessments. | PFS, ORR, OS at 18 months, PFS, safety, pharmacokinetics, immunogenicity, HRQOL | OS in Arm 2 vs Arm 3; PFS"
3,2,"PFS, ORR, DOR | ORR, DOR | OS, PFS, RR, Disease progression/Death, QoL | Patient-reported outcomes | ORR; DOR | PFS; ORR; DoR"
4,2,"PFS, ORR, DOR | ORR, DOR | OS, PFS, RR, Disease progression/Death, QoL | Patient-reported outcomes | ORR; DOR | PFS; ORR; DoR"
5,2,"PFS, ORR, DOR | ORR, DOR | OS, PFS, RR, Disease progression/Death, QoL | Patient-reported outcomes | ORR; DOR | PFS; ORR; DoR"
6,3,"Immune-related PFS; modified WHO criteria PFS; OS; modified WHO criteria best overall response rate; irBORR (proportion of patients with irCR or irPR);  modified WHO criteria disease control rate; irDCR (proportion of patients with irCR, irPR or irSD) | PFS; objective response; OS at 18 months; PFS at 6 and 12 months; safety; pharmacokinetics; immunogenicity; symptoms and health-related quality of life assessments. | PFS, ORR, OS at 18 months, PFS, safety, pharmacokinetics, immunogenicity, HRQOL | OS in Arm 2 vs Arm 3; PFS"
7,3,"Immune-related PFS; modified WHO criteria PFS; OS; modified WHO criteria best overall response rate; irBORR (proportion of patients with irCR or irPR);  modified WHO criteria disease control rate; irDCR (proportion of patients with irCR, irPR or irSD) | PFS; objective response; OS at 18 months; PFS at 6 and 12 months; safety; pharmacokinetics; immunogenicity; symptoms and health-related quality of life assessments. | PFS, ORR, OS at 18 months, PFS, safety, pharmacokinetics, immunogenicity, HRQOL | OS in Arm 2 vs Arm 3; PFS"
8,2,"PFS, ORR, DOR | ORR, DOR | OS, PFS, RR, Disease progression/Death, QoL | Patient-reported outcomes | ORR; DOR | PFS; ORR; DoR"
9,2,"PFS, ORR, DOR | ORR, DOR | OS, PFS, RR, Disease progression/Death, QoL | Patient-reported outcomes | ORR; DOR | PFS; ORR; DoR"
10,3,"Immune-related PFS; modified WHO criteria PFS; OS; modified WHO criteria best overall response rate; irBORR (proportion of patients with irCR or irPR);  modified WHO criteria disease control rate; irDCR (proportion of patients with irCR, irPR or irSD) | PFS; objective response; OS at 18 months; PFS at 6 and 12 months; safety; pharmacokinetics; immunogenicity; symptoms and health-related quality of life assessments. | PFS, ORR, OS at 18 months, PFS, safety, pharmacokinetics, immunogenicity, HRQOL | OS in Arm 2 vs Arm 3; PFS"
11,3,"Immune-related PFS; modified WHO criteria PFS; OS; modified WHO criteria best overall response rate; irBORR (proportion of patients with irCR or irPR);  modified WHO criteria disease control rate; irDCR (proportion of patients with irCR, irPR or irSD) | PFS; objective response; OS at 18 months; PFS at 6 and 12 months; safety; pharmacokinetics; immunogenicity; symptoms and health-related quality of life assessments. | PFS, ORR, OS at 18 months, PFS, safety, pharmacokinetics, immunogenicity, HRQOL | OS in Arm 2 vs Arm 3; PFS"
12,2,"PFS, ORR, DOR | ORR, DOR | OS, PFS, RR, Disease progression/Death, QoL | Patient-reported outcomes | ORR; DOR | PFS; ORR; DoR"
13,3,"Immune-related PFS; modified WHO criteria PFS; OS; modified WHO criteria best overall response rate; irBORR (proportion of patients with irCR or irPR);  modified WHO criteria disease control rate; irDCR (proportion of patients with irCR, irPR or irSD) | PFS; objective response; OS at 18 months; PFS at 6 and 12 months; safety; pharmacokinetics; immunogenicity; symptoms and health-related quality of life assessments. | PFS, ORR, OS at 18 months, PFS, safety, pharmacokinetics, immunogenicity, HRQOL | OS in Arm 2 vs Arm 3; PFS"
14,3,"Immune-related PFS; modified WHO criteria PFS; OS; modified WHO criteria best overall response rate; irBORR (proportion of patients with irCR or irPR);  modified WHO criteria disease control rate; irDCR (proportion of patients with irCR, irPR or irSD) | PFS; objective response; OS at 18 months; PFS at 6 and 12 months; safety; pharmacokinetics; immunogenicity; symptoms and health-related quality of life assessments. | PFS, ORR, OS at 18 months, PFS, safety, pharmacokinetics, immunogenicity, HRQOL | OS in Arm 2 vs Arm 3; PFS"
