row_index,NCT,PubMed ID,Trial name,source_value,setting_normalized,derived_expected_llm_response,table_row_id
1,NCT00527735,22858559,,Metastatic+recurrent (unresectable),metastatic/advanced,"{""setting_normalized"": ""metastatic/advanced""}",25
2,NCT00527735,22858559,,Metastatic+recurrent (unresectable),metastatic/advanced,"{""setting_normalized"": ""metastatic/advanced""}",26
3,NCT01450761,27458307,CA184-156,Metastatic+recurrent (unresectable),metastatic/advanced,"{""setting_normalized"": ""metastatic/advanced""}",32
4,NCT02763579,30280641,IMPower 133,Metastatic+recurrent (unresectable),metastatic/advanced,"{""setting_normalized"": ""metastatic/advanced""}",43
5,NCT03059667,30664989,IFCT-1603,Metastatic+recurrent (unresectable),metastatic/advanced,"{""setting_normalized"": ""metastatic/advanced""}",53
6,NCT03043872,31590988,CASPIAN,Metastatic+recurrent (unresectable),metastatic/advanced,"{""setting_normalized"": ""metastatic/advanced""}",82
7,NCT03043872,31590988,CASPIAN,Metastatic+recurrent (unresectable),metastatic/advanced,"{""setting_normalized"": ""metastatic/advanced""}",83
8,NCT02763579,31959349,IMpower133,Metastatic+recurrent (unresectable),metastatic/advanced,"{""setting_normalized"": ""metastatic/advanced""}",87
9,NCT03066778,32468956,KEYNOTE-604,Metastatic+recurrent (unresectable),metastatic/advanced,"{""setting_normalized"": ""metastatic/advanced""}",98
10,NCT03043872,33285097,CASPIAN,Metastatic+recurrent (unresectable),metastatic/advanced,"{""setting_normalized"": ""metastatic/advanced""}",137
11,NCT03043872,33285097,CASPIAN,Metastatic+recurrent (unresectable),metastatic/advanced,"{""setting_normalized"": ""metastatic/advanced""}",138
12,NCT02481830,33539946,CheckMate 331,Metastatic+recurrent (unresectable),metastatic/advanced,"{""setting_normalized"": ""metastatic/advanced""}",147
13,NCT02538666,33683919,CheckMate 451,Maintenance,maintenance,"{""setting_normalized"": ""maintenance""}",149
14,NCT02538666,33683919,CheckMate 451,Maintenance,maintenance,"{""setting_normalized"": ""maintenance""}",150
