row_index,NCT,PubMed ID,Trial name,source_value,primary_endpoint_category,derived_expected_llm_response,table_row_id
1,NCT00324155,21639810,,OS,OS,"{""primary_endpoint_category"": ""OS""}",58
2,NCT00094653,20525992,MDX010-20,OS,OS,"{""primary_endpoint_category"": ""OS""}",59
3,NCT00094653,20525992,MDX010-20,OS,OS,"{""primary_endpoint_category"": ""OS""}",60
4,NCT00257205,23295794,,OS,OS,"{""primary_endpoint_category"": ""OS""}",61
5,NCT02362594,29658430,EORTC 1325-MG/KEYNOTE-054,PFS,PFS,"{""primary_endpoint_category"": ""PFS""}",62
6,NCT00636168,27717298,,PFS,PFS,"{""primary_endpoint_category"": ""PFS""}",67
7,NCT01721746,25795410,CheckMate 037,OS+ORR,OS,"{""primary_endpoint_category"": ""OS""}",68
8,NCT01721746,28671856,CheckMate 037,OS+ORR,OS,"{""primary_endpoint_category"": ""OS""}",69
9,NCT01721772,25399552,CheckMate 066,OS,OS,"{""primary_endpoint_category"": ""OS""}",71
10,NCT01721772,30422243,CheckMate 066,OS,OS,"{""primary_endpoint_category"": ""OS""}",72
11,NCT01274338,31880964,E1609,OS+RFS,OS,"{""primary_endpoint_category"": ""OS""}",93
12,NCT01274338,31880964,E1609,OS+RFS,OS,"{""primary_endpoint_category"": ""OS""}",94
13,NCT02908672,32534646,IMspire150,PFS,PFS,"{""primary_endpoint_category"": ""PFS""}",104
14,NCT00094653,23942774,MDX010-20,OS,OS,"{""primary_endpoint_category"": ""OS""}",117
15,NCT00094653,23942774,MDX010-20,OS,OS,"{""primary_endpoint_category"": ""OS""}",118
16,NCT01721772,32997575,CheckMate 066,OS,OS,"{""primary_endpoint_category"": ""OS""}",135
17,NCT02362594,32946353,EORTC 1325-MG/KEYNOTE-054,RFS,Other,"{""primary_endpoint_category"": ""Other""}",141
18, NCT00636168,25840693,,PFS,PFS,"{""primary_endpoint_category"": ""PFS""}",142
