row_index,NCT,PubMed ID,Trial name,source_value,endpoint_role,derived_expected_llm_response
1,NCT00527735,22858559,,"Immune-related PFS; modified WHO criteria PFS; OS; modified WHO criteria best overall response rate; irBORR (proportion of patients with irCR or irPR);  modified WHO criteria disease control rate; irDCR (proportion of patients with irCR, irPR or irSD)",secondary,"{""endpoint_role"": ""secondary""}"
2,NCT00527735,22858559,,"Immune-related PFS; modified WHO criteria PFS; OS; modified WHO criteria best overall response rate; irBORR (proportion of patients with irCR or irPR);  modified WHO criteria disease control rate; irDCR (proportion of patients with irCR, irPR or irSD)",secondary,"{""endpoint_role"": ""secondary""}"
3,NCT01450761,27458307,CA184-156,"PFS, ORR, DOR",secondary,"{""endpoint_role"": ""secondary""}"
4,NCT02763579,30280641,IMPower 133,"ORR, DOR",secondary,"{""endpoint_role"": ""secondary""}"
5,NCT03059667,30664989,IFCT-1603,"OS, PFS, RR, Disease progression/Death, QoL",secondary,"{""endpoint_role"": ""secondary""}"
6,NCT03043872,31590988,CASPIAN,PFS; objective response; OS at 18 months; PFS at 6 and 12 months; safety; pharmacokinetics; immunogenicity; symptoms and health-related quality of life assessments.,secondary,"{""endpoint_role"": ""secondary""}"
7,NCT03043872,31590988,CASPIAN,PFS; objective response; OS at 18 months; PFS at 6 and 12 months; safety; pharmacokinetics; immunogenicity; symptoms and health-related quality of life assessments.,secondary,"{""endpoint_role"": ""secondary""}"
8,NCT02763579,31959349,IMpower133,Patient-reported outcomes,secondary,"{""endpoint_role"": ""secondary""}"
9,NCT03066778,32468956,KEYNOTE-604,ORR; DOR,secondary,"{""endpoint_role"": ""secondary""}"
10,NCT03043872,33285097,CASPIAN,"PFS, ORR, OS at 18 months, PFS, safety, pharmacokinetics, immunogenicity, HRQOL",secondary,"{""endpoint_role"": ""secondary""}"
11,NCT03043872,33285097,CASPIAN,"PFS, ORR, OS at 18 months, PFS, safety, pharmacokinetics, immunogenicity, HRQOL",secondary,"{""endpoint_role"": ""secondary""}"
12,NCT02481830,33539946,CheckMate 331,PFS; ORR; DoR,secondary,"{""endpoint_role"": ""secondary""}"
13,NCT02538666,33683919,CheckMate 451,OS in Arm 2 vs Arm 3; PFS,secondary,"{""endpoint_role"": ""secondary""}"
14,NCT02538666,33683919,CheckMate 451,OS in Arm 2 vs Arm 3; PFS,secondary,"{""endpoint_role"": ""secondary""}"
