row_index,NCT,PubMed ID,Trial name,source_value,added_agents,derived_expected_llm_response,table_row_id
1,NCT02425891,30345906,IMpassion130,Atezolizumab+Nab-paclitaxel,"[""nab-paclitaxel""]","{""added_agents"": [""nab-paclitaxel""]}",4
2,NCT02788279,31003911,IMblaze130,Atezolizumab+Cobimetinib,"[""cobimetinib""]","{""added_agents"": [""cobimetinib""]}",6
3,NCT01984242,29867230,IMmotion150,Atezolizumab+Bevacizumab,"[""bevacizumab""]","{""added_agents"": [""bevacizumab""]}",17
4,NCT02420821,31079938,IMmotion151,Atezolizumab+Bevacizumab,"[""bevacizumab""]","{""added_agents"": [""bevacizumab""]}",22
5,NCT02763579,30280641,IMPower 133,Atezolizumab+Etoposide+Carboplatin,"[""etoposide"", ""carboplatin""]","{""added_agents"": [""etoposide"", ""carboplatin""]}",43
6,NCT02366143,29863955,IMPower150,Atezolizumab+Carboplatin+Paclitaxel,"[""carboplatin"", ""paclitaxel""]","{""added_agents"": [""carboplatin"", ""paclitaxel""]}",45
7,NCT02366143,29863955,IMPower150,Atezolizumab+Carboplatin+Paclitaxel+Bevacizumab,"[""carboplatin"", ""paclitaxel"", ""bevacizumab""]","{""added_agents"": [""carboplatin"", ""paclitaxel"", ""bevacizumab""]}",46
8,NCT02367781,31122901,IMpower130,Atezolizumab+Carboplatin+Nab-paclitaxel,"[""carboplatin"", ""nab-paclitaxel""]","{""added_agents"": [""carboplatin"", ""nab-paclitaxel""]}",55
9,NCT02425891,31786121,IMpassion130,Atezolizumab+Nab-paclitaxel,"[""nab-paclitaxel""]","{""added_agents"": [""nab-paclitaxel""]}",84
10,NCT02763579,31959349,IMpower133,Atezolizumab+Carboplatin+Etoposide,"[""carboplatin"", ""etoposide""]","{""added_agents"": [""carboplatin"", ""etoposide""]}",87
11,NCT02367794,32302702,IMpower131,Atezolizumab+Carboplatin+Paclitaxel,"[""carboplatin"", ""paclitaxel""]","{""added_agents"": [""carboplatin"", ""paclitaxel""]}",102
12,NCT02367794,32302702,IMpower131,Atezolizumab+Carboplatin+Nab-paclitaxel,"[""carboplatin"", ""nab-paclitaxel""]","{""added_agents"": [""carboplatin"", ""nab-paclitaxel""]}",103
13,NCT02908672,32534646,IMspire150,Atezolizumab+Vemurafenib+Cobimetinib,"[""vemurafenib"", ""cobimetinib""]","{""added_agents"": [""vemurafenib"", ""cobimetinib""]}",104
14,NCT02807636,32416780,IMvigor130,Atezolizumab+Gemcitabine+Carboplatin or Cisplatin,"[""gemcitabine"", ""carboplatin"", ""cisplatin""]","{""added_agents"": [""gemcitabine"", ""carboplatin"", ""cisplatin""]}",107
15,NCT03434379,32402160,IMbrave150,Atezolizumab+Bevacizumab,"[""bevacizumab""]","{""added_agents"": [""bevacizumab""]}",109
16,NCT03197935,32966830,IMpassion031,Atezolizumab+Nab-paclitaxel+Doxorubicin+Cyclophosphamide+Filgrastim/Pegfilgrastim,"[""nab-paclitaxel"", ""doxorubicin"", ""cyclophosphamide"", ""filgrastim"", ""pegfilgrastim""]","{""added_agents"": [""nab-paclitaxel"", ""doxorubicin"", ""cyclophosphamide"", ""filgrastim"", ""pegfilgrastim""]}",125
17,NCT02657434,33333328,Impower 132,Atezolizumab+Carboplatin/Cisplatin+Pemetrexed,"[""carboplatin"", ""cisplatin"", ""pemetrexed""]","{""added_agents"": [""carboplatin"", ""cisplatin"", ""pemetrexed""]}",132
