row_index,NCT,PubMed ID,Trial name,source_value,added_agents,derived_expected_llm_response,table_row_id
1,NCT00527735,22547592,,Concurrent ipilimumab+Paclitaxel+Carboplatin,"[""paclitaxel"", ""carboplatin""]","{""added_agents"": [""paclitaxel"", ""carboplatin""]}",23
2,NCT00527735,22547592,,Phased ipilimumab+Paclitaxel+Carboplatin,"[""paclitaxel"", ""carboplatin""]","{""added_agents"": [""paclitaxel"", ""carboplatin""]}",24
3,NCT00527735,22858559,,Concurrent ipilimumab+Paclitaxel+Carboplatin,"[""paclitaxel"", ""carboplatin""]","{""added_agents"": [""paclitaxel"", ""carboplatin""]}",25
4,NCT00527735,22858559,,Phased ipilimumab+Paclitaxel+Carboplatin,"[""paclitaxel"", ""carboplatin""]","{""added_agents"": [""paclitaxel"", ""carboplatin""]}",26
5,NCT01450761,27458307,CA184-156,Ipilimumab+Etoposide+Platinum agent,"[""etoposide"", ""platinum agent""]","{""added_agents"": [""etoposide"", ""platinum agent""]}",32
6,NCT01285609,28854067,,Ipilimumab+Paclitaxel+Carboplatin,"[""paclitaxel"", ""carboplatin""]","{""added_agents"": [""paclitaxel"", ""carboplatin""]}",34
7,NCT00324155,21639810,,Ipilimumab+Dacarbazine,"[""dacarbazine""]","{""added_agents"": [""dacarbazine""]}",58
8,NCT00094653,20525992,MDX010-20,Ipilimumab+Gp100 Vaccine,"[""gp100 vaccine""]","{""added_agents"": [""gp100 vaccine""]}",60
9,NCT00861614,24831977,CA184-043,Ipilimumab,,"{""added_agents"": null}",76
10,NCT01896869,32591464,,Ipilimumab+GVAX,"[""gvax""]","{""added_agents"": [""gvax""]}",97
11,NCT00094653,23942774,MDX010-20,Ipilimumab+Gp100 Vaccine,"[""gp100 vaccine""]","{""added_agents"": [""gp100 vaccine""]}",118
12,NCT00861614,32811715,CA184-043,Ipilimumab,,"{""added_agents"": null}",134
