row_index,NCT,PubMed ID,Trial name,source_value,primary_endpoint_category,derived_expected_llm_response,table_row_id
1,NCT01450761,27458307,CA184-156,OS,OS,"{""primary_endpoint_category"": ""OS""}",32
2,NCT02763579,30280641,IMPower 133,OS+PFS,PFS,"{""primary_endpoint_category"": ""PFS""}",43
3,NCT03043872,31590988,CASPIAN,OS,OS,"{""primary_endpoint_category"": ""OS""}",82
4,NCT03043872,31590988,CASPIAN,OS,OS,"{""primary_endpoint_category"": ""OS""}",83
5,NCT02763579,31959349,IMpower133,OS+PFS,PFS,"{""primary_endpoint_category"": ""PFS""}",87
6,NCT03066778,32468956,KEYNOTE-604,OS+PFS,PFS,"{""primary_endpoint_category"": ""PFS""}",98
7,NCT03043872,33285097,CASPIAN,OS,OS,"{""primary_endpoint_category"": ""OS""}",137
8,NCT03043872,33285097,CASPIAN,OS,OS,"{""primary_endpoint_category"": ""OS""}",138
9,NCT02481830,33539946,CheckMate 331,OS,OS,"{""primary_endpoint_category"": ""OS""}",147
10,NCT02538666,33683919,CheckMate 451,OS,OS,"{""primary_endpoint_category"": ""OS""}",149
11,NCT02538666,33683919,CheckMate 451,,,"{""primary_endpoint_category"": null}",150
