row_index,NCT,PubMed ID,Trial name,source_value,is_follow_up,derived_expected_llm_response
1,NCT00527735,22547592,,Original publication,false,"{""is_follow_up"": false}"
2,NCT00527735,22547592,,Original publication,false,"{""is_follow_up"": false}"
3,NCT01673867,26412456,Checkmate 057,Original publication,false,"{""is_follow_up"": false}"
4,NCT01642004,26028407,Checkmate 017,Original publication,false,"{""is_follow_up"": false}"
5,NCT01905657,26712084,Keynote-010,Original publication,false,"{""is_follow_up"": false}"
6,NCT01905657,26712084,Keynote-010,Original publication,false,"{""is_follow_up"": false}"
7,NCT01903993,26970723,POPLAR,Original publication,false,"{""is_follow_up"": false}"
8,NCT02041533,28636851,Checkmate 026,Original publication,false,"{""is_follow_up"": false}"
9,NCT01285609,28854067,,Original publication,false,"{""is_follow_up"": false}"
10,NCT02125461,28885881,PACIFIC,Original publication,false,"{""is_follow_up"": false}"
11,NCT02125461,30280658,PACIFIC,Follow-up,true,"{""is_follow_up"": true}"
12,NCT02395172,30262187,JAVELIN Lung 200,Original publication,false,"{""is_follow_up"": false}"
13,NCT02039674,27745820,Keynote-021,Original publication,false,"{""is_follow_up"": false}"
14,NCT02039674,30138764,Keynote-021,Follow-up,true,"{""is_follow_up"": true}"
15,NCT02008227,27979383,OAK,Original publication,false,"{""is_follow_up"": false}"
16,NCT02008227,29777823,OAK,Follow-up,true,"{""is_follow_up"": true}"
17,NCT02578680,29658856,Keynote-189,Original publication,false,"{""is_follow_up"": false}"
18,NCT02775435,30280635,Keynote-407,Original publication,false,"{""is_follow_up"": false}"
19,NCT02366143,29863955,IMPower150,Original publication,false,"{""is_follow_up"": false}"
20,NCT02366143,29863955,IMPower150,Original publication,false,"{""is_follow_up"": false}"
21,NCT02477826,29658845,Checkmate 227,Original publication,false,"{""is_follow_up"": false}"
22,NCT02477826,29658845,Checkmate 227,Original publication,false,"{""is_follow_up"": false}"
23,NCT02477826,31562796,Checkmate 227,Follow-up,true,"{""is_follow_up"": true}"
24,NCT02477826,31562796,Checkmate 227,Follow-up,true,"{""is_follow_up"": true}"
25,NCT02477826,31562796,Checkmate 227,Follow-up,true,"{""is_follow_up"": true}"
26,NCT02220894,30955977,Keynote-042,Original publication,false,"{""is_follow_up"": false}"
27,NCT02142738,30620668,Keynote-024,Follow-up,true,"{""is_follow_up"": true}"
28,NCT02367781,31122901,IMpower130,Original publication,false,"{""is_follow_up"": false}"
29,NCT02613507,30659987,Checkmate 078,Original publication,false,"{""is_follow_up"": false}"
30,NCT02454933,30763730,CAURAL,Original publication,false,"{""is_follow_up"": false}"
31,NCT02352948,32201234,ARCTIC,Original publication,false,"{""is_follow_up"": false}"
32,NCT02352948,32201234,ARCTIC,Original publication,false,"{""is_follow_up"": false}"
33,NCT02352948,32201234,ARCTIC,Original publication,false,"{""is_follow_up"": false}"
34,NCT02453282,32271377,MYSTIC,Original publication,false,"{""is_follow_up"": false}"
35,NCT02453282,32271377,MYSTIC,Original publication,false,"{""is_follow_up"": false}"
36,NCT02367794,32302702,IMpower131,Original publication,false,"{""is_follow_up"": false}"
37,NCT02367794,32302702,IMpower131,Original publication,false,"{""is_follow_up"": false}"
38,NCT02574598,32271354,PROLUNG,Original publication,false,"{""is_follow_up"": false}"
39,NCT02142738,27718847,Keynote-024,Original publication,false,"{""is_follow_up"": false}"
40,NCT02409342,32997907,IMpower110,Original publication,false,"{""is_follow_up"": false}"
41,NCT01903993,33166718,POPLAR,Follow-up,true,"{""is_follow_up"": true}"
42,NCT02008227,33166718,OAK,Follow-up,true,"{""is_follow_up"": true}"
43,NCT03215706,33476593,CheckMate 9LA,Original publication,false,"{""is_follow_up"": false}"
44,NCT03088540,33581821,EMPOWER-Lung 1,Original publication,false,"{""is_follow_up"": false}"
45,NCT02852083, 33796020,ModuLung,Original publication,false,"{""is_follow_up"": false}"
