row_index,NCT,PubMed ID,Trial name,source_value,setting_normalized,derived_expected_llm_response
1,NCT01668784,26406148,CheckMate 025,Metastatic+recurrent (unresectable),metastatic/advanced,"{""setting_normalized"": ""metastatic/advanced""}"
2,NCT01984242,29867230,IMmotion150,Metastatic+recurrent (unresectable),metastatic/advanced,"{""setting_normalized"": ""metastatic/advanced""}"
3,NCT01984242,29867230,IMmotion150,Metastatic+recurrent (unresectable),metastatic/advanced,"{""setting_normalized"": ""metastatic/advanced""}"
4,NCT02231749,29562145,CheckMate 214,Metastatic+recurrent (unresectable),metastatic/advanced,"{""setting_normalized"": ""metastatic/advanced""}"
5,NCT02231749,31427204,CheckMate 214,Metastatic+recurrent (unresectable),metastatic/advanced,"{""setting_normalized"": ""metastatic/advanced""}"
6,NCT02684006,30779531,JAVELIN Renal 101,Metastatic+recurrent (unresectable),metastatic/advanced,"{""setting_normalized"": ""metastatic/advanced""}"
7,NCT02853331,30779529,KEYNOTE-426,Metastatic+recurrent (unresectable),metastatic/advanced,"{""setting_normalized"": ""metastatic/advanced""}"
8,NCT02420821,31079938,IMmotion151,Metastatic+recurrent (unresectable),metastatic/advanced,"{""setting_normalized"": ""metastatic/advanced""}"
9,NCT02231749,32661118,CheckMate 214,Metastatic+recurrent (unresectable),metastatic/advanced,"{""setting_normalized"": ""metastatic/advanced""}"
10,NCT01668784,32673417,CheckMate 025,Metastatic+recurrent (unresectable),metastatic/advanced,"{""setting_normalized"": ""metastatic/advanced""}"
11,NCT02684006,32339648,JAVELIN Renal 101,Metastatic+recurrent (unresectable),metastatic/advanced,"{""setting_normalized"": ""metastatic/advanced""}"
12,NCT02853331,33284113,Keynote-426,Metastatic+recurrent (unresectable),metastatic/advanced,"{""setting_normalized"": ""metastatic/advanced""}"
13,NCT02811861,33616314,CLEAR,Metastatic+recurrent (unresectable),metastatic/advanced,"{""setting_normalized"": ""metastatic/advanced""}"
14,NCT03141177,33657295,CheckMate 9ER,Metastatic+recurrent (unresectable),metastatic/advanced,"{""setting_normalized"": ""metastatic/advanced""}"
