row_index,NCT,PubMed ID,Trial name,source_value,era,derived_expected_llm_response
1,NCT01585987,28655793,,2017,2015–2018,"{""era"": ""2015–2018""}"
2,NCT00527735,22547592,,2012,≤2014,"{""era"": ""≤2014""}"
3,NCT00527735,22547592,,2012,≤2014,"{""era"": ""≤2014""}"
4,NCT00527735,22858559,,2012,≤2014,"{""era"": ""≤2014""}"
5,NCT00527735,22858559,,2012,≤2014,"{""era"": ""≤2014""}"
6,NCT01450761,27458307,CA184-156,2016,2015–2018,"{""era"": ""2015–2018""}"
7,NCT01285609,28854067,,2017,2015–2018,"{""era"": ""2015–2018""}"
8,NCT00324155,21639810,,2011,≤2014,"{""era"": ""≤2014""}"
9,NCT00094653,20525992,MDX010-20,2010,≤2014,"{""era"": ""≤2014""}"
10,NCT00094653,20525992,MDX010-20,2010,≤2014,"{""era"": ""≤2014""}"
11,NCT00636168,27717298,,2016,2015–2018,"{""era"": ""2015–2018""}"
12,NCT00861614,24831977,CA184-043,2014,≤2014,"{""era"": ""≤2014""}"
13,NCT01057810,28034081,CA184-095,2017,2015–2018,"{""era"": ""2015–2018""}"
14,NCT01274338,31880964,E1609,2020,≥2019,"{""era"": ""≥2019""}"
15,NCT01274338,31880964,E1609,2020,≥2019,"{""era"": ""≥2019""}"
16,NCT01896869,32591464,,2020,≥2019,"{""era"": ""≥2019""}"
17,NCT00094653,23942774,MDX010-20,2013,≤2014,"{""era"": ""≤2014""}"
18,NCT00094653,23942774,MDX010-20,2013,≤2014,"{""era"": ""≤2014""}"
19,NCT00861614,32811715,CA184-043,2020,≥2019,"{""era"": ""≥2019""}"
20, NCT00636168,25840693,,2015,2015–2018,"{""era"": ""2015–2018""}"
