row_index,NCT,PubMed ID,Trial name,source_value,control_drugs,derived_expected_llm_response
1,NCT02425891,30345906,IMpassion130,Nab-paclitaxel,"[""nab-paclitaxel""]","{""control_drugs"": [""nab-paclitaxel""]}"
2,NCT02685059,31095287,GeparNuevo,Placebo+Nab-paclitaxel+Epirubicin+Cyclophosphamide,"[""nab-paclitaxel"", ""epirubicin"", ""cyclophosphamide""]","{""control_drugs"": [""nab-paclitaxel"", ""epirubicin"", ""cyclophosphamide""]}"
3,NCT01042379,32053137,I-SPY2,Paclitaxel+Doxorubicin+Cyclophosphamide,"[""paclitaxel"", ""doxorubicin"", ""cyclophosphamide""]","{""control_drugs"": [""paclitaxel"", ""doxorubicin"", ""cyclophosphamide""]}"
4,NCT02425891,31786121,IMpassion130,Nab-paclitaxel,"[""nab-paclitaxel""]","{""control_drugs"": [""nab-paclitaxel""]}"
5,NCT03036488,32101663,KEYNOTE-522,Placebo+Paclitaxel+Carboplatin,"[""paclitaxel"", ""carboplatin""]","{""control_drugs"": [""paclitaxel"", ""carboplatin""]}"
6,NCT03051659,32880602,,Eribulin,"[""eribulin""]","{""control_drugs"": [""eribulin""]}"
7,NCT02819518,33278935,MK-3475/Keynote-355,Placebo+Nab-paclitaxel/Gemcitabine+carboplatin,"[""nab-paclitaxel"", ""gemcitabine"", ""carboplatin""]","{""control_drugs"": [""nab-paclitaxel"", ""gemcitabine"", ""carboplatin""]}"
8,NCT03197935,32966830,IMpassion031,Placebo+Nab-paclitaxel+Doxorubicin+Cyclophosphamide+Filgrastim/Pegfilgrastim,"[""nab-paclitaxel"", ""doxorubicin"", ""cyclophosphamide"", ""filgrastim"", ""pegfilgrastim""]","{""control_drugs"": [""nab-paclitaxel"", ""doxorubicin"", ""cyclophosphamide"", ""filgrastim"", ""pegfilgrastim""]}"
9,NCT02299999,33462450,SAFIR02-BREAST IMMUNO,Chemotherapy,,"{""control_drugs"": null}"
10,NCT02555657,33676601,Keynote-119,Chemotherapy,,"{""control_drugs"": null}"
