NCT,PubMed ID,Trial name,source_value
NCT02302807,29268948,IMvigor211,Monotherapy
NCT02256436,28212060,Keynote-045,Monotherapy
NCT02256436,31050707,Keynote-045,Monotherapy
NCT02425891,30345906,IMpassion130,Combination
NCT02685059,31095287,GeparNuevo,Combination
NCT02788279,31003911,IMblaze130,Combination
NCT02788279,31003911,IMblaze130,Monotherapy
NCT01585987,28655793,,Monotherapy
NCT02267343,28993052,ATTRACTION-2,Monotherapy
NCT02625623,30052729,JAVELIN Gastric 300,Monotherapy
NCT02370498,29880231,Keynote-061,Monotherapy
NCT02252042,30509740,KEYNOTE-040,Monotherapy
NCT02105636,27718784,CheckMate 141,Monotherapy
NCT02105636,29884413,CheckMate 141,Monotherapy
NCT01668784,26406148,CheckMate 025,Monotherapy
NCT01984242,29867230,IMmotion150,Monotherapy
NCT01984242,29867230,IMmotion150,Combination
NCT02231749,29562145,CheckMate 214,Combination
NCT02231749,31427204,CheckMate 214,Combination
NCT02684006,30779531,JAVELIN Renal 101,Combination
NCT02853331,30779529,KEYNOTE-426,Combination
NCT02420821,31079938,IMmotion151,Combination
NCT00527735,22547592,,Combination
NCT00527735,22547592,,Combination
NCT00527735,22858559,,Combination
NCT00527735,22858559,,Combination
NCT01673867,26412456,Checkmate 057,Monotherapy
NCT01642004,26028407,Checkmate 017,Monotherapy
NCT01905657,26712084,Keynote-010,Monotherapy
NCT01905657,26712084,Keynote-010,Monotherapy
NCT01903993,26970723,POPLAR,Monotherapy
NCT01450761,27458307,CA184-156,Combination
NCT02041533,28636851,Checkmate 026,Monotherapy
NCT01285609,28854067,,Combination
NCT02125461,28885881,PACIFIC,Monotherapy
NCT02125461,30280658,PACIFIC,Monotherapy
NCT02395172,30262187,JAVELIN Lung 200,Monotherapy
NCT02039674,27745820,Keynote-021,Combination
NCT02039674,30138764,Keynote-021,Combination
NCT02008227,27979383,OAK,Monotherapy
NCT02008227,29777823,OAK,Monotherapy
NCT02578680,29658856,Keynote-189,Combination
NCT02763579,30280641,IMPower 133,Combination
NCT02775435,30280635,Keynote-407,Combination
NCT02366143,29863955,IMPower150,Combination
NCT02366143,29863955,IMPower150,Combination
NCT02477826,29658845,Checkmate 227,Combination
NCT02477826,29658845,Checkmate 227,Monotherapy
NCT02477826,31562796,Checkmate 227,Combination
NCT02477826,31562796,Checkmate 227,Monotherapy
NCT02477826,31562796,Checkmate 227,Combination
NCT02220894,30955977,Keynote-042,Monotherapy
NCT03059667,30664989,IFCT-1603,Monotherapy
NCT02142738,30620668,Keynote-024,Monotherapy
NCT02367781,31122901,IMpower130,Combination
NCT02613507,30659987,Checkmate 078,Monotherapy
NCT02454933,30763730,CAURAL,Combination
NCT00324155,21639810,,Combination
NCT00094653,20525992,MDX010-20,Monotherapy
NCT00094653,20525992,MDX010-20,Combination
NCT00257205,23295794,,Monotherapy
NCT02362594,29658430,EORTC 1325-MG/KEYNOTE-054,Monotherapy
NCT01704287,26115796,KEYNOTE-002,Monotherapy
NCT01704287,26115796,KEYNOTE-002,Monotherapy
NCT01704287,28961465,KEYNOTE-002,Monotherapy
NCT01704287,28961465,KEYNOTE-002,Monotherapy
NCT00636168,27717298,,Monotherapy
NCT01721746,25795410,CheckMate 037,Monotherapy
NCT01721746,28671856,CheckMate 037,Monotherapy
NCT02130466,31171878,KEYNOTE-022,Combination
NCT01721772,25399552,CheckMate 066,Monotherapy
NCT01721772,30422243,CheckMate 066,Monotherapy
NCT01843374,28729154,DETERMINE,Monotherapy
NCT02576977,31327687,KEYNOTE-183,Combination
NCT02579863,31327689,KEYNOTE-185,Combination
NCT00861614,24831977,CA184-043,Combination
NCT01057810,28034081,CA184-095,Monotherapy
NCT02267343,31863227,ATTRACTION-2,Monotherapy
NCT02702401,31790344,KEYNOTE-240,Monotherapy
NCT02569242,31582355,ATTRACTION-3,Monotherapy
NCT01042379,32053137,I-SPY2,Combination
NCT03043872,31590988,CASPIAN,Combination
NCT03043872,31590988,CASPIAN,Combination
NCT02425891,31786121,IMpassion130,Combination
NCT02358031,31679945,KEYNOTE-048,Monotherapy
NCT02358031,31679945,KEYNOTE-048,Combination
NCT02763579,31959349,IMpower133,Combination
NCT02362048,32114502,KEYNOTE144,Combination
NCT02352948,32201234,ARCTIC,Monotherapy
NCT02352948,32201234,ARCTIC,Monotherapy
NCT02352948,32201234,ARCTIC,Combination
NCT03036488,32101663,KEYNOTE-522,Combination
NCT01274338,31880964,E1609,Monotherapy
NCT01274338,31880964,E1609,Monotherapy
NCT02523313,32416781,IMMUNED,Monotherapy
NCT02523313,32416781,IMMUNED,Combination
NCT01896869,32591464,,Combination
NCT03066778,32468956,KEYNOTE-604,Combination
NCT02453282,32271377,MYSTIC,Monotherapy
NCT02453282,32271377,MYSTIC,Combination
NCT02231749,32661118,CheckMate 214,Combination
NCT02367794,32302702,IMpower131,Combination
NCT02367794,32302702,IMpower131,Combination
NCT02908672,32534646,IMspire150,Combination
NCT02017717,32437507,CheckMate 143,Monotherapy
NCT02500121,32271672,,Monotherapy
NCT02807636,32416780,IMvigor130,Combination
NCT02807636,32416780,IMvigor130,Monotherapy
NCT03434379,32402160,IMbrave150,Combination
NCT02369874,32294530,EAGLE,Monotherapy
NCT02369874,32294530,EAGLE,Combination
NCT02870920,32379280,,Combination
NCT02574598,32271354,PROLUNG,Combination
NCT01668784,32673417,CheckMate 025,Monotherapy
NCT02684006,32339648,JAVELIN Renal 101,Combination
NCT02142738,27718847,Keynote-024,Monotherapy
NCT00094653,23942774,MDX010-20,Monotherapy
NCT00094653,23942774,MDX010-20,Combination
NCT03051659,32880602,,Combination
NCT02494583,32880601,Keynote-062,Monotherapy
NCT02494583,32880601,Keynote-062,Combination
NCT02819518,33278935,MK-3475/Keynote-355,Combination
NCT02516241,32971005,DANUBE,Monotherapy
NCT02516241,32971005,DANUBE,Combination
NCT03197935,32966830,IMpassion031,Combination
NCT02603432,32945632,,Monotherapy
NCT02625610,33197226,Javelin Gastric 100,Combination
NCT02899299,33485464,CheckMate 743,Combination
NCT02409342,32997907,IMpower110,Monotherapy
NCT02924883,33002436,KATE2,Combination
NCT02853331,33284113,Keynote-426,Combination
NCT02657434,33333328,Impower 132,Combination
NCT02564263,33026938,KEYNOTE-181,Monotherapy
