NCT,PubMed ID,Trial name,source_value
NCT02302807,29268948,IMvigor211,Chemo
NCT02256436,28212060,Keynote-045,Chemo
NCT02256436,31050707,Keynote-045,Chemo
NCT02425891,30345906,IMpassion130,Chemo
NCT02685059,31095287,GeparNuevo,Chemo
NCT02788279,31003911,IMblaze130,Multikinase inhibitor
NCT02788279,31003911,IMblaze130,Multikinase inhibitor
NCT01585987,28655793,,Best supportive care
NCT02267343,28993052,ATTRACTION-2,Placebo
NCT02625623,30052729,JAVELIN Gastric 300,Best supportive care
NCT02370498,29880231,Keynote-061,Chemo
NCT02252042,30509740,KEYNOTE-040,Chemo/Anti-EGFR
NCT02105636,27718784,CheckMate 141,Chemo/Anti-EGFR
NCT02105636,29884413,CheckMate 141,Chemo/Anti-EGFR
NCT01668784,26406148,CheckMate 025,mTOR inhibitor
NCT01984242,29867230,IMmotion150,TKI
NCT01984242,29867230,IMmotion150,TKI
NCT02231749,29562145,CheckMate 214,TKI
NCT02231749,31427204,CheckMate 214,TKI
NCT02684006,30779531,JAVELIN Renal 101,TKI
NCT02853331,30779529,KEYNOTE-426,TKI
NCT02420821,31079938,IMmotion151,TKI
NCT00527735,22547592,,Chemo
NCT00527735,22547592,,Chemo
NCT00527735,22858559,,Chemo
NCT00527735,22858559,,Chemo
NCT01673867,26412456,Checkmate 057,Chemo
NCT01642004,26028407,Checkmate 017,Chemo
NCT01905657,26712084,Keynote-010,Chemo
NCT01905657,26712084,Keynote-010,Chemo
NCT01903993,26970723,POPLAR,Chemo
NCT01450761,27458307,CA184-156,Chemo
NCT02041533,28636851,Checkmate 026,Chemo
NCT01285609,28854067,,Chemo
NCT02125461,28885881,PACIFIC,Placebo
NCT02125461,30280658,PACIFIC,Placebo
NCT02395172,30262187,JAVELIN Lung 200,Chemo
NCT02039674,27745820,Keynote-021,Chemo
NCT02039674,30138764,Keynote-021,Chemo
NCT02008227,27979383,OAK,Chemo
NCT02008227,29777823,OAK,Chemo
NCT02578680,29658856,Keynote-189,Chemo
NCT02763579,30280641,IMPower 133,Placebo
NCT02775435,30280635,Keynote-407,Chemo
NCT02366143,29863955,IMPower150,Chemo+Anti-VEGF
NCT02366143,29863955,IMPower150,Chemo+Anti-VEGF
NCT02477826,29658845,Checkmate 227,Chemo
NCT02477826,29658845,Checkmate 227,Chemo
NCT02477826,31562796,Checkmate 227,Chemo
NCT02477826,31562796,Checkmate 227,Chemo
NCT02477826,31562796,Checkmate 227,Chemo
NCT02220894,30955977,Keynote-042,Chemo
NCT03059667,30664989,IFCT-1603,Chemo
NCT02142738,30620668,Keynote-024,Chemo
NCT02367781,31122901,IMpower130,Chemo
NCT02613507,30659987,Checkmate 078,Chemo
NCT02454933,30763730,CAURAL,TKI
NCT00324155,21639810,,Chemo
NCT00094653,20525992,MDX010-20,Vaccine
NCT00094653,20525992,MDX010-20,Vaccine
NCT00257205,23295794,,Chemo
NCT02362594,29658430,EORTC 1325-MG/KEYNOTE-054,Placebo
NCT01704287,26115796,KEYNOTE-002,Chemo
NCT01704287,26115796,KEYNOTE-002,Chemo
NCT01704287,28961465,KEYNOTE-002,Chemo
NCT01704287,28961465,KEYNOTE-002,Chemo
NCT00636168,27717298,,Placebo
NCT01721746,25795410,CheckMate 037,Chemo
NCT01721746,28671856,CheckMate 037,Chemo
NCT02130466,31171878,KEYNOTE-022,BRAFi+MEKi
NCT01721772,25399552,CheckMate 066,Chemo
NCT01721772,30422243,CheckMate 066,Chemo
NCT01843374,28729154,DETERMINE,Placebo
NCT02576977,31327687,KEYNOTE-183,Chemo
NCT02579863,31327689,KEYNOTE-185,Chemo
NCT00861614,24831977,CA184-043,Radiation
NCT01057810,28034081,CA184-095,Placebo
NCT02267343,31863227,ATTRACTION-2,Placebo
NCT02702401,31790344,KEYNOTE-240,Placebo
NCT02569242,31582355,ATTRACTION-3,Chemo
