row_index,NCT,PubMed ID,Trial name,source_value,setting_normalized,derived_expected_llm_response
1,NCT00324155,21639810,,Metastatic+recurrent (unresectable),metastatic/advanced,"{""setting_normalized"": ""metastatic/advanced""}"
2,NCT00094653,20525992,MDX010-20,Metastatic+recurrent (unresectable),metastatic/advanced,"{""setting_normalized"": ""metastatic/advanced""}"
3,NCT00094653,20525992,MDX010-20,Metastatic+recurrent (unresectable),metastatic/advanced,"{""setting_normalized"": ""metastatic/advanced""}"
4,NCT00257205,23295794,,Metastatic+recurrent (unresectable),metastatic/advanced,"{""setting_normalized"": ""metastatic/advanced""}"
5,NCT02362594,29658430,EORTC 1325-MG/KEYNOTE-054,Adjuvant,adjuvant,"{""setting_normalized"": ""adjuvant""}"
6,NCT01704287,26115796,KEYNOTE-002,Metastatic+recurrent (unresectable),metastatic/advanced,"{""setting_normalized"": ""metastatic/advanced""}"
7,NCT01704287,26115796,KEYNOTE-002,Metastatic+recurrent (unresectable),metastatic/advanced,"{""setting_normalized"": ""metastatic/advanced""}"
8,NCT01704287,28961465,KEYNOTE-002,Metastatic+recurrent (unresectable),metastatic/advanced,"{""setting_normalized"": ""metastatic/advanced""}"
9,NCT01704287,28961465,KEYNOTE-002,Metastatic+recurrent (unresectable),metastatic/advanced,"{""setting_normalized"": ""metastatic/advanced""}"
10,NCT00636168,27717298,,Metastatic+recurrent (unresectable),metastatic/advanced,"{""setting_normalized"": ""metastatic/advanced""}"
11,NCT01721746,25795410,CheckMate 037,Metastatic+recurrent (unresectable),metastatic/advanced,"{""setting_normalized"": ""metastatic/advanced""}"
12,NCT01721746,28671856,CheckMate 037,Metastatic+recurrent (unresectable),metastatic/advanced,"{""setting_normalized"": ""metastatic/advanced""}"
13,NCT02130466,31171878,KEYNOTE-022,Metastatic+recurrent (unresectable),metastatic/advanced,"{""setting_normalized"": ""metastatic/advanced""}"
14,NCT01721772,25399552,CheckMate 066,Metastatic+recurrent (unresectable),metastatic/advanced,"{""setting_normalized"": ""metastatic/advanced""}"
15,NCT01721772,30422243,CheckMate 066,Metastatic+recurrent (unresectable),metastatic/advanced,"{""setting_normalized"": ""metastatic/advanced""}"
16,NCT01274338,31880964,E1609,Adjuvant,adjuvant,"{""setting_normalized"": ""adjuvant""}"
17,NCT01274338,31880964,E1609,Adjuvant,adjuvant,"{""setting_normalized"": ""adjuvant""}"
18,NCT02523313,32416781,IMMUNED,Metastatic+recurrent (unresectable),metastatic/advanced,"{""setting_normalized"": ""metastatic/advanced""}"
19,NCT02523313,32416781,IMMUNED,Metastatic+recurrent (unresectable),metastatic/advanced,"{""setting_normalized"": ""metastatic/advanced""}"
20,NCT02908672,32534646,IMspire150,Metastatic+recurrent (unresectable),metastatic/advanced,"{""setting_normalized"": ""metastatic/advanced""}"
21,NCT00094653,23942774,MDX010-20,Metastatic+recurrent (unresectable),metastatic/advanced,"{""setting_normalized"": ""metastatic/advanced""}"
22,NCT00094653,23942774,MDX010-20,Metastatic+recurrent (unresectable),metastatic/advanced,"{""setting_normalized"": ""metastatic/advanced""}"
23,NCT01721772,32997575,CheckMate 066,Metastatic+recurrent (unresectable),metastatic/advanced,"{""setting_normalized"": ""metastatic/advanced""}"
24,NCT02130466,33361337,KEYNOTE-022,Metastatic+recurrent (unresectable),metastatic/advanced,"{""setting_normalized"": ""metastatic/advanced""}"
25,NCT02362594,32946353,EORTC 1325-MG/KEYNOTE-054,Adjuvant,adjuvant,"{""setting_normalized"": ""adjuvant""}"
26, NCT00636168,25840693,,Metastatic+recurrent (unresectable),metastatic/advanced,"{""setting_normalized"": ""metastatic/advanced""}"
