NCT,PubMed ID,Trial name,source_value
NCT02302807,29268948,IMvigor211,OS
NCT02256436,28212060,Keynote-045,OS+PFS
NCT02256436,31050707,Keynote-045,OS+PFS
NCT02425891,30345906,IMpassion130,OS+PFS
NCT02685059,31095287,GeparNuevo,Path CR
NCT02788279,31003911,IMblaze130,OS
NCT02788279,31003911,IMblaze130,OS
NCT01585987,28655793,,PFS
NCT02267343,28993052,ATTRACTION-2,OS
NCT02625623,30052729,JAVELIN Gastric 300,OS
NCT02370498,29880231,Keynote-061,OS+PFS
NCT02252042,30509740,KEYNOTE-040,OS
NCT02105636,27718784,CheckMate 141,OS
NCT02105636,29884413,CheckMate 141,OS
NCT01668784,26406148,CheckMate 025,OS
NCT01984242,29867230,IMmotion150,PFS
NCT01984242,29867230,IMmotion150,PFS
NCT02231749,29562145,CheckMate 214,OS+PFS+ORR
NCT02231749,31427204,CheckMate 214,OS+PFS+ORR
NCT02684006,30779531,JAVELIN Renal 101,OS+PFS
NCT02853331,30779529,KEYNOTE-426,OS+PFS
NCT02420821,31079938,IMmotion151,OS+PFS
NCT00527735,22547592,,PFS
NCT00527735,22547592,,PFS
NCT01673867,26412456,Checkmate 057,OS
NCT01642004,26028407,Checkmate 017,OS
NCT01905657,26712084,Keynote-010,OS+PFS
NCT01905657,26712084,Keynote-010,OS+PFS
NCT01903993,26970723,POPLAR,PFS
NCT01450761,27458307,CA184-156,OS
NCT02041533,28636851,Checkmate 026,PFS
NCT01285609,28854067,,OS
NCT02125461,28885881,PACIFIC,OS+PFS
NCT02125461,30280658,PACIFIC,OS+PFS
NCT02395172,30262187,JAVELIN Lung 200,OS
NCT02039674,27745820,Keynote-021,ORR
NCT02039674,30138764,Keynote-021,ORR
NCT02008227,27979383,OAK,OS
NCT02008227,29777823,OAK,OS
NCT02578680,29658856,Keynote-189,OS+PFS
NCT02763579,30280641,IMPower 133,OS+PFS
NCT02775435,30280635,Keynote-407,OS+PFS
NCT02366143,29863955,IMPower150,OS+PFS
NCT02366143,29863955,IMPower150,OS+PFS
NCT02477826,29658845,Checkmate 227,OS+PFS
NCT02477826,29658845,Checkmate 227,OS+PFS
NCT02477826,31562796,Checkmate 227,OS
NCT02477826,31562796,Checkmate 227,OS
NCT02477826,31562796,Checkmate 227,OS
NCT02220894,30955977,Keynote-042,OS
NCT03059667,30664989,IFCT-1603,ORR
