row_index,NCT,Trial name,Treatment regimen,Control regimen
1,NCT02425891,IMpassion130,Atezolizumab+Nab-paclitaxel,
2,NCT02788279,IMblaze130,Atezolizumab+Cobimetinib,
3,NCT01984242,IMmotion150,Atezolizumab+Bevacizumab,
4,NCT02420821,IMmotion151,Atezolizumab+Bevacizumab,
5,NCT02763579,IMPower 133,Atezolizumab+Etoposide+Carboplatin,
6,NCT02366143,IMPower150,Atezolizumab+Carboplatin+Paclitaxel,
7,NCT02366143,IMPower150,Atezolizumab+Carboplatin+Paclitaxel+Bevacizumab,
8,NCT02367781,IMpower130,Atezolizumab+Carboplatin+Nab-paclitaxel,
9,NCT02425891,IMpassion130,Atezolizumab+Nab-paclitaxel,
10,NCT02763579,IMpower133,Atezolizumab+Carboplatin+Etoposide,
11,NCT02367794,IMpower131,Atezolizumab+Carboplatin+Paclitaxel,
12,NCT02367794,IMpower131,Atezolizumab+Carboplatin+Nab-paclitaxel,
13,NCT02908672,IMspire150,Atezolizumab+Vemurafenib+Cobimetinib,
14,NCT02807636,IMvigor130,Atezolizumab+Gemcitabine+Carboplatin or Cisplatin,
15,NCT03434379,IMbrave150,Atezolizumab+Bevacizumab,
16,NCT03197935,IMpassion031,Atezolizumab+Nab-paclitaxel+Doxorubicin+Cyclophosphamide+Filgrastim/Pegfilgrastim,
17,NCT02657434,Impower 132,Atezolizumab+Carboplatin/Cisplatin+Pemetrexed,
